^FINANCIAL,08/24/2007,865.36,865.36,856.93,857.64,437611,-10489
ASIA,08/24/2007,9.5,9.5,9.5,9.5,34000,0
BDO,08/24/2007,59.5,59.5,58,58.5,842200,2548200
BPI,08/24/2007,60.5,60.5,58.5,58.5,1983000,-30306700
CHIB,08/24/2007,820,825,820,825,15080,-3613500
CSB,08/24/2007,23.5,23.5,23.5,23.5,600,0
EIB,08/24/2007,0.4,0.4,0.4,0.4,1830000,0
MBT,08/24/2007,53.5,54,53,54,2399700,39201200
PNB,08/24/2007,47,47,46,46.5,413700,-3670850
PSB,08/24/2007,63.5,63.5,63,63,2700,0
RCB,08/24/2007,25,25,24.5,24.75,2807800,-15419600
SECB,08/24/2007,72,72,72,72,12700,338400
UBP,08/24/2007,53.5,54,53.5,53.5,198500,495550
BKD,08/24/2007,1.94,1.94,1.86,1.88,4933000,0
COL,08/24/2007,10.75,10.75,10,10.25,156100,215000
FAF,08/24/2007,0.8,0.8,0.8,0.8,470000,0
FMIC,08/24/2007,40,41,40,41,2300,0
MFC,08/24/2007,1715,1715,1715,1715,130,0
NRCP,08/24/2007,3.3,3.3,3.15,3.15,2620000,-869200
PSE,08/24/2007,760,780,760,780,6500,-2088500
SLF,08/24/2007,2200,2225,2200,2225,1920,2680200
V,08/24/2007,1.46,1.46,1.46,1.46,3000,0
^INDUSTRIAL,08/24/2007,4511.16,4511.16,4451.68,4473,890894,-12461
AP,08/24/2007,4.9,4.9,4.75,4.85,18429000,8031550
EDC,08/24/2007,6.3,6.4,6.3,6.4,24218000,-5152000
FGEN,08/24/2007,62.5,62.5,61,61,627100,-22732050
FPH,08/24/2007,78.5,78.5,77.5,77.5,381000,-5241150
MER,08/24/2007,95.5,95.5,93,94.5,293800,0
MERB,08/24/2007,95.5,95.5,93.5,95,864300,-9511550
MWC,08/24/2007,14,14,13.25,13.25,8023200,-1606250
PCOR,08/24/2007,5.4,5.4,5.3,5.4,3427000,16019900
PNX,08/24/2007,8,8,7.7,7.9,10000,0
TA,08/24/2007,1.14,1.22,1.14,1.14,414000,114000
GSMI,08/24/2007,24,24,24,24,52800,-1240800
JFC,08/24/2007,52,52,50.5,51,310900,-30600
PCKH,08/24/2007,8,8,8,8,11000,0
RFM,08/24/2007,1.6,1.6,1.6,1.6,115000,0
ROX,08/24/2007,2.2,2.24,2.2,2.24,67000,0
SFI,08/24/2007,0.5,0.5,0.5,0.5,50000,0
SMC,08/24/2007,62,62.5,61.5,62.5,86200,0
SMCB,08/24/2007,63,64.5,63,64,983200,-49864200
TDY,08/24/2007,3.7,3.7,3.7,3.7,1000,0
TUNA,08/24/2007,2.08,2.08,2,2.04,73000,0
URC,08/24/2007,16.25,16.25,16,16,3676000,-16738750
VITA,08/24/2007,0.36,0.36,0.36,0.36,50000,0
CMT,08/24/2007,0.98,1.06,0.96,0.97,29970000,1040000
EEI,08/24/2007,3.7,3.95,3.7,3.95,4802000,-1165000
FED,08/24/2007,10.5,10.5,10.5,10.5,405000,0
HLCM,08/24/2007,6.4,6.7,6.2,6.6,21169000,77556200
RCM,08/24/2007,4.15,4.15,4,4,34000,0
COAT,08/24/2007,4.3,4.4,4.3,4.3,1451000,-1425850
AAI,08/24/2007,3,4,3,4,70000,0
PCP,08/24/2007,0.36,0.36,0.35,0.35,13990000,-514500
^HOLDING,08/24/2007,1792.63,1792.63,1763.68,1768.68,476362,-24593
ABA,08/24/2007,0.01,0.01,0.0095,0.0095,27000000,0
AC,08/24/2007,455,457.5,447.5,450,271310,-25448900
ACR,08/24/2007,0.7,0.72,0.7,0.72,270000,0
AEV,08/24/2007,6.6,6.6,6.4,6.5,2851000,3250000
AGI,08/24/2007,4.5,4.6,4.4,4.5,20425000,9105600
AJO,08/24/2007,0.0875,0.0875,0.085,0.085,14800000,25500
ANS,08/24/2007,3.15,3.15,3.1,3.1,34000,3150
APC,08/24/2007,0.61,0.61,0.58,0.59,3410000,183000
APM,08/24/2007,0.013,0.013,0.013,0.013,25000000,0
APO,08/24/2007,2.02,2.02,1.96,1.98,1028000,300000
APR,08/24/2007,3.25,3.25,3.25,3.25,5000,0
ATN,08/24/2007,3.2,3.3,3.1,3.2,3628000,0
ATNB,08/24/2007,3.4,3.6,3.4,3.5,1661000,0
BPC,08/24/2007,4.4,4.4,4.25,4.25,18641000,34250
DMC,08/24/2007,7.7,7.7,7.7,7.7,425000,-2849000
ETON,08/24/2007,3.6,3.9,3.6,3.9,51000,0
FDC,08/24/2007,5.5,5.5,5.5,5.5,409000,0
HI,08/24/2007,1.82,1.86,1.8,1.82,4158000,-2100360
JGS,08/24/2007,9.7,9.7,9.5,9.6,199000,-1623100
JOH,08/24/2007,1.62,1.62,1.62,1.62,40000,0
MIC,08/24/2007,4.9,5.2,4.75,4.8,7157000,-26000
