^FINANCIAL,02/01/2007,893.18,912.86,892.9,908.25,692037,133004
ASIA,02/01/2007,7,7.1,7,7.1,20000,0
BDO,02/01/2007,51,52.5,51,52.5,4047000,2337700
BPI,02/01/2007,72,72.5,71.5,72.5,1656700,43104100
CHIB,02/01/2007,695,800,695,750,16030,-3733450
CSB,02/01/2007,19.75,19.75,19.75,19.75,400,0
EIB,02/01/2007,0.5,0.5,0.5,0.5,2610000,0
EPCI,02/01/2007,90,92.5,90,92,216500,4228250
MBT,02/01/2007,59,60.5,59,60.5,4073800,91375000
PNB,02/01/2007,47.5,48,47.5,48,37500,0
PSB,02/01/2007,49.5,50,49.5,50,31800,0
RCB,02/01/2007,40,40,39,39,251600,2559500
SECB,02/01/2007,76,76.5,75.5,75.5,325900,-8481850
UBP,02/01/2007,60,60,59.5,60,23900,1134000
ATRK,02/01/2007,2.6,2.75,2.6,2.75,46000,0
COL,02/01/2007,4.95,4.95,4.8,4.9,522000,0
FFI,02/01/2007,5,5,5,5,36000,0
FMIC,02/01/2007,31.5,32,31.5,32,20100,0
PCIL,02/01/2007,1.6,1.62,1.6,1.62,323000,0
PSE,02/01/2007,450,470,450,455,10910,-1481850
SLF,02/01/2007,2065,2075,2065,2075,2410,1963450
V,02/01/2007,1.6,1.62,1.6,1.6,1630000,0
^INDUSTRIAL,02/01/2007,4176.11,4195.01,4164.03,4179.99,764314,-166485
EDC,02/01/2007,4.9,4.95,4.85,4.95,19331000,17947050
FGEN,02/01/2007,55.5,58.5,55.5,58,812800,10211950
FPH,02/01/2007,75.5,77.5,75.5,76.5,533500,14052700
MER,02/01/2007,70,70.5,70,70,107000,0
MERB,02/01/2007,71,71,70,70,2253200,-123530550
MWC,02/01/2007,9.1,9.2,9,9.1,4486000,-26801300
PCOR,02/01/2007,4.3,4.5,4.3,4.45,12262000,26903200
PWR,02/01/2007,0.28,0.28,0.28,0.28,600000,0
TA,02/01/2007,1.2,1.24,1.2,1.22,155000,0
AMC,02/01/2007,3.6,3.6,3.55,3.55,3000,0
CAC,02/01/2007,2.2,2.2,2.2,2.2,10000,0
GSMI,02/01/2007,21,23,21,23,688700,-10187050
JFC,02/01/2007,42.5,43,42,43,543300,8876250
PCKH,02/01/2007,6.3,6.3,6.3,6.3,10000,0
RFM,02/01/2007,1.3,1.36,1.3,1.34,447000,0
ROX,02/01/2007,2.8,2.85,2.8,2.85,344000,28500
SFI,02/01/2007,0.4,0.4,0.4,0.4,980000,0
SMC,02/01/2007,63.5,64,63,63.5,89400,0
SMCB,02/01/2007,75,75,74.5,75,424700,-12000350
TUNA,02/01/2007,2.04,2.06,2.02,2.04,778000,0
URC,02/01/2007,19,19,18.5,18.5,4267700,-53639475
CMT,02/01/2007,1.3,1.3,1.28,1.28,16867000,-12588140
EEI,02/01/2007,4.45,4.65,4.45,4.6,2374000,-227500
HLCM,02/01/2007,8,8,8,8,8340000,-6512000
PNC,02/01/2007,5.7,5.7,5.7,5.7,5000,0
RCM,02/01/2007,5.1,5.1,5.1,5.1,380000,1468800
COAT,02/01/2007,5,5.2,5,5.1,7368000,-767500
MVC,02/01/2007,0.65,0.65,0.65,0.65,10000,0
GEO,02/01/2007,0.81,0.81,0.8,0.8,13350000,280000
PCP,02/01/2007,0.27,0.3,0.26,0.29,40050000,0
^HOLDING,02/01/2007,1942.23,1944.92,1928.69,1944.92,714516,-120498
ABA,02/01/2007,0.0095,0.0095,0.0095,0.0095,80000000,0
ABAB,02/01/2007,0.01,0.01,0.01,0.01,28000000,0
AC,02/01/2007,630,630,620,630,137110,4781950
ACR,02/01/2007,0.7,0.7,0.7,0.7,280000,0
AEV,02/01/2007,8.2,8.2,8.1,8.2,20491000,-57699900
AGI,02/01/2007,9,9,8.5,9,15000,-86000
AJO,02/01/2007,0.075,0.075,0.075,0.075,55800000,75000
ANS,02/01/2007,3.1,3.2,3.1,3.2,1102000,0
APC,02/01/2007,0.38,0.38,0.38,0.38,3260000,0
APM,02/01/2007,0.012,0.013,0.012,0.013,689000000,-1989000
APO,02/01/2007,1.28,1.34,1.28,1.34,13700000,-1320000
B,02/01/2007,3.7,3.7,3.7,3.7,56000,-18500
BAL,02/01/2007,1.12,1.12,1.12,1.12,25000,0
BCI,02/01/2007,10,10,10,10,24000,200000
BPC,02/01/2007,3.05,3.1,3,3.1,22262000,-20892500
DMC,02/01/2007,7.2,7.4,7.2,7.3,4759000,14687500
FDC,02/01/2007,5.4,5.5,5.4,5.4,9303000,-13500000
FPI,02/01/2007,0.3,0.3,0.3,0.3,400000,0
