^FINANCIAL,01/30/2007,875.52,880.35,875.52,878.41,471648,127920
ASIA,01/30/2007,7.1,7.1,6.8,7,43000,0
BDO,01/30/2007,48.5,49.5,48.5,49,1620300,10045000
BPI,01/30/2007,71,71,70.5,70.5,2031800,18495950
CHIB,01/30/2007,685,685,685,685,38320,-12295750
CSB,01/30/2007,19.75,19.75,19.75,19.75,300,0
EIB,01/30/2007,0.5,0.5,0.5,0.5,3910000,0
EPCI,01/30/2007,85.5,88,85.5,88,149400,6028750
MBT,01/30/2007,57.5,58.5,57,58,3082000,103257400
PBC,01/30/2007,50,50,50,50,500,0
PNB,01/30/2007,48,48,48,48,22000,0
PSB,01/30/2007,49.5,49.5,49.5,49.5,68600,0
RCB,01/30/2007,37.5,38,37,38,262100,1279700
SECB,01/30/2007,74,74.5,73.5,74,27200,0
UBP,01/30/2007,60,61,60,61,60900,1548000
COL,01/30/2007,4.8,4.8,4.75,4.75,511000,-1596000
FAF,01/30/2007,0.57,0.57,0.57,0.57,10000,0
FMIC,01/30/2007,31.5,31.5,30,31.5,15000,0
MFC,01/30/2007,1615,1615,1615,1615,600,323000
PCIL,01/30/2007,1.6,1.6,1.6,1.6,280000,0
PSE,01/30/2007,382.5,430,382.5,430,7920,834000
SLF,01/30/2007,2050,2050,2050,2050,300,0
V,01/30/2007,1.64,1.64,1.62,1.62,475000,0
^INDUSTRIAL,01/30/2007,4166.08,4177.75,4132.14,4145.86,957223,-191719
EDC,01/30/2007,4.95,5,4.85,4.9,35092000,-26113350
FGEN,01/30/2007,55.5,56.5,55.5,56,2156900,-19737550
FPH,01/30/2007,72,73.5,72,73.5,476000,-7005750
MER,01/30/2007,71,71,69.5,69.5,45900,0
MERB,01/30/2007,71,71.5,70,70.5,1603700,-67233000
MWC,01/30/2007,9.2,9.2,9,9.1,1042000,-2013400
PCOR,01/30/2007,4.4,4.4,4.25,4.25,26603000,8088700
PWR,01/30/2007,0.3,0.3,0.29,0.29,990000,0
TA,01/30/2007,1.2,1.22,1.2,1.22,466000,0
GSMI,01/30/2007,20.5,20.5,20.25,20.5,119600,-1426800
JFC,01/30/2007,43,43.5,42.5,42.5,1665500,21221000
LFM,01/30/2007,20,24,20,24,4100,0
RFM,01/30/2007,1.3,1.32,1.3,1.32,161000,0
ROX,01/30/2007,2.8,2.8,2.8,2.8,20000,0
SFI,01/30/2007,0.38,0.38,0.38,0.38,80000,0
SMC,01/30/2007,63,63,62.5,63,38900,0
SMCB,01/30/2007,75,75,74.5,75,304900,157500
TDY,01/30/2007,3.75,3.75,3.75,3.75,15000,0
TUNA,01/30/2007,2.08,2.08,2.04,2.04,406000,0
URC,01/30/2007,19,19,18.75,18.75,2353600,-1465325
CMT,01/30/2007,1.32,1.32,1.26,1.28,15359000,-10191200
EEI,01/30/2007,4.3,4.4,4.3,4.35,1880000,0
FCC,01/30/2007,3.2,3.2,3.2,3.2,30000,0
HLCM,01/30/2007,8.2,8.2,8,8.1,16949000,-85892500
RCM,01/30/2007,5.3,5.3,5.3,5.3,390000,-238500
COAT,01/30/2007,5,5,4.9,4.95,1823000,213000
GEO,01/30/2007,0.8,0.83,0.8,0.82,60040000,-82000
PCP,01/30/2007,0.3,0.3,0.28,0.28,62020000,0
^HOLDING,01/30/2007,1924.1,1943.28,1919.09,1939.42,907505,32357
ABA,01/30/2007,0.0095,0.0095,0.009,0.0095,15000000,0
AC,01/30/2007,620,630,620,625,253960,102833500
ACR,01/30/2007,0.69,0.69,0.69,0.69,610000,0
AEV,01/30/2007,8.4,8.4,8.2,8.3,13254000,-53800500
AGI,01/30/2007,10,10,9,9,2000,9000
AJO,01/30/2007,0.0825,0.0825,0.08,0.08,23400000,0
ANS,01/30/2007,3.2,3.2,3.15,3.15,332000,0
APC,01/30/2007,0.4,0.4,0.39,0.39,1830000,0
APM,01/30/2007,0.012,0.012,0.012,0.012,58800000,0
APO,01/30/2007,1.22,1.24,1.2,1.22,3292000,0
B,01/30/2007,3.8,3.9,3.8,3.8,153000,-190000
BAL,01/30/2007,1.28,1.28,1.28,1.28,259000,0
BPC,01/30/2007,3.1,3.1,3,3.05,21469000,-10455900
DMC,01/30/2007,6.8,7.3,6.8,7.3,3856000,13126400
FDC,01/30/2007,4.8,5.1,4.7,5,4025000,-12000000
FJP,01/30/2007,1,1,1,1,25000,0
FPI,01/30/2007,0.29,0.33,0.29,0.33,2700000,0
HI,01/30/2007,2.8,2.85,2.8,2.85,286000,72800
JGS,01/30/2007,12.25,12.25,12,12.25,3249500,-1602375
KPHB,01/30/2007,1.98,2,1.98,2,161000,0
MED,01/30/2007,0.31,0.42,0.31,0.4,20840000,-55500
MHI,01/30/2007,5.2,5.3,5.1,5.1,487000,-102000
