^FINANCIAL,05/30/2007,964.35,965.05,956.07,957.88,1456009,92525
ASIA,05/30/2007,11.75,11.75,11.75,11.75,20000,0
BDO,05/30/2007,66.5,66.5,65.5,65.5,1296700,41046700
BPI,05/30/2007,68.5,68.5,67.5,68,634000,4765050
CHIB,05/30/2007,900,900,885,900,2980,2228650
CSB,05/30/2007,19.5,19.5,19.5,19.5,400,0
EIB,05/30/2007,0.54,0.54,0.54,0.54,1840000,0
EPCI,05/30/2007,117,118,115,116,59120,-11800
MBT,05/30/2007,66,66,65,65,560700,15254500
PBC,05/30/2007,50,50,50,50,400,0
PNB,05/30/2007,53.5,56.5,52.5,52.5,1114600,-719850
RCB,05/30/2007,32,32,31,31,2293000,29694650
SECB,05/30/2007,83.5,83.5,82.5,82.5,54000,-1499750
UBP,05/30/2007,65,65,64,64,2212200,332800
COL,05/30/2007,6.9,7,6.9,7,812000,-1449000
MFC,05/30/2007,1660,1690,1660,1690,520,572300
NRCP,05/30/2007,4.35,4.4,4.25,4.25,12564000,1720000
PCIL,05/30/2007,2.36,2.5,2.36,2.4,440000,0
PSE,05/30/2007,585,585,585,585,130,0
SLF,05/30/2007,2100,2110,2100,2100,700,590800
V,05/30/2007,1.66,1.66,1.64,1.66,1372000,0
^INDUSTRIAL,05/30/2007,4662.35,4662.35,4601.89,4605.04,1011973,26783
EDC,05/30/2007,5.9,5.9,5.8,5.8,15279000,-4285100
FGEN,05/30/2007,60,60,59.5,59.5,230100,-2542800
FPH,05/30/2007,79,79,77.5,77.5,435900,4381200
MER,05/30/2007,90.5,91.5,90.5,90.5,147300,0
MERB,05/30/2007,92.5,92.5,90.5,91,1161500,31541200
MWC,05/30/2007,11.75,11.75,11.5,11.75,5644400,20029475
PCOR,05/30/2007,5.2,5.3,5.1,5.2,3855000,1140000
TA,05/30/2007,1.46,1.46,1.44,1.46,2695000,1752000
AMC,05/30/2007,5.1,5.1,5.1,5.1,89000,-326400
GSMI,05/30/2007,26.5,26.5,26,26,7000,0
JFC,05/30/2007,57,57,55,55,68200,-390450
RFM,05/30/2007,1.4,1.4,1.38,1.38,33000,0
ROX,05/30/2007,2.36,2.36,2.34,2.34,171000,0
SFI,05/30/2007,0.41,0.41,0.41,0.41,10000,0
SMC,05/30/2007,66,66,65,65.5,138700,0
SMCB,05/30/2007,76,76,75.5,76,5073900,4581850
TUNA,05/30/2007,2.24,2.24,2.2,2.2,2355000,0
URC,05/30/2007,15.5,15.5,15.25,15.5,9574500,-35638700
CMT,05/30/2007,1.84,1.84,1.78,1.84,5456000,1938800
EEI,05/30/2007,5.3,5.4,5.1,5.4,624000,10200
FCC,05/30/2007,4.15,4.2,4.15,4.2,10000,0
HLCM,05/30/2007,8.5,8.5,8.4,8.4,3137000,1334300
RCM,05/30/2007,5.6,5.6,5.6,5.6,3000,0
COAT,05/30/2007,6,6,5.8,5.8,1923000,3215000
MVC,05/30/2007,0.69,0.69,0.69,0.69,10000,0
PCP,05/30/2007,0.37,0.37,0.33,0.33,38080000,43000
^HOLDING,05/30/2007,2087.63,2087.63,2043.43,2057.37,906261,113152
AB,05/30/2007,8,8,8,8,1000,0
ABA,05/30/2007,0.013,0.013,0.012,0.013,191300000,0
ABAB,05/30/2007,0.014,0.014,0.013,0.014,38400000,0
AC,05/30/2007,515,520,510,520,143990,20528050
ACR,05/30/2007,0.83,0.83,0.82,0.82,640000,0
AEV,05/30/2007,9,9,9,9,5176000,-24363000
AGI,05/30/2007,6.3,6.3,6.1,6.3,7601000,789500
AJO,05/30/2007,0.09,0.09,0.0825,0.0825,324900000,0
ANS,05/30/2007,3.65,3.75,3.65,3.7,1111000,735000
APC,05/30/2007,1.04,1.06,0.97,0.98,114848000,3134260
APM,05/30/2007,0.015,0.015,0.014,0.015,279200000,0
APO,05/30/2007,2.32,2.34,2.2,2.2,5933000,0
APR,05/30/2007,1.64,1.8,1.64,1.68,21000,0
ATN,05/30/2007,1.74,1.74,1.74,1.74,8000,0
B,05/30/2007,3.9,3.9,3.7,3.7,399000,0
BAL,05/30/2007,4.55,4.55,4.5,4.5,300000,0
BCI,05/30/2007,14,14,13.75,14,65900,0
BPC,05/30/2007,4.65,4.65,4.45,4.5,30684000,103992350
DMC,05/30/2007,8.8,9.3,8.8,8.9,7124000,11627000
FDC,05/30/2007,5.5,5.7,5.5,5.7,55000,125400
HI,05/30/2007,2.8,2.8,2.8,2.8,70000,0
JGS,05/30/2007,12.5,12.5,11.75,11.75,86800,0
MED,05/30/2007,0.36,0.36,0.36,0.36,200000,0
MHC,05/30/2007,0.52,0.58,0.5,0.5,1380000,0
MHI,05/30/2007,14.75,16.5,14.5,15.5,5998200,3197500
MIC,05/30/2007,4.75,4.85,4.3,4.3,9743000,-5000
POPI,05/30/2007,0.58,0.63,0.56,0.57,36450000,0
PRIM,05/30/2007,0.94,0.94,0.94,0.94,49000,0
SGI,05/30/2007,0.69,0.69,0.67,0.67,710000,0
SINO,05/30/2007,0.71,0.71,0.64,0.64,82920000,-260900
SM,05/30/2007,412.5,412.5,397.5,400,346910,-6366775
SOC,05/30/2007,1.42,1.54,1.4,1.4,266000,0
SPM,05/30/2007,1.62,1.62,1.62,1.62,88000,0
WIN,05/30/2007,0.21,0.215,0.195,0.195,19210000,18900
^PROPERTY,05/30/2007,1604.08,1616.91,1581.29,1583.82,1171994,381058
ALI,05/30/2007,15.25,15.25,15,15,46127300,296050150
ARA,05/30/2007,0.56,0.56,0.55,0.55,600000,0
BEL,05/30/2007,1.64,1.7,1.56,1.56,28691000,-411800
BRN,05/30/2007,1.94,1.94,1.82,1.82,7044000,0
CEI,05/30/2007,0.63,0.63,0.58,0.59,5090000,6300
CHI,05/30/2007,4.4,4.45,4.25,4.45,394000,8800
CMP,05/30/2007,4,4,3.65,3.7,1654000,-17000
CPV,05/30/2007,1.76,1.76,1.76,1.76,2000,0
CYBR,05/30/2007,0.57,0.6,0.55,0.55,35790000,-294400
ELI,05/30/2007,0.8,0.8,0.77,0.78,20640000,7800
EPHI,05/30/2007,2.65,2.7,2.65,2.7,324000,0
EVER,05/30/2007,0.29,0.29,0.26,0.26,56230000,0
FLI,05/30/2007,1.88,1.9,1.88,1.9,13216000,3628400
IRC,05/30/2007,0.012,0.012,0.012,0.012,8100000,0
IRCB,05/30/2007,0.012,0.012,0.012,0.012,15000000,0
