^FINANCIAL,11/07/2007,952.49,958.73,951.5,955.2,813839,-162308
ASIA,11/07/2007,8.2,8.4,8.2,8.2,83000,-287400
BDO,11/07/2007,61,61,60.5,60.5,1047700,-41020050
BPI,11/07/2007,66.5,68.5,66.5,68,2606500,26760250
CHIB,11/07/2007,705,705,700,700,6100,0
CSB,11/07/2007,23.25,23.25,23.25,23.25,300,0
EIB,11/07/2007,0.43,0.44,0.41,0.43,2030000,0
MBT,11/07/2007,62.5,63.5,62,62,5667100,-106013750
PNB,11/07/2007,48,48,45.5,46,494200,23000
PSB,11/07/2007,61,62,61,62,2700,0
RCB,11/07/2007,28,28,27,27,1458000,-35502750
SECB,11/07/2007,77,77,77,77,400,30800
UBP,11/07/2007,49.5,50,49,49.5,135400,-5670600
ATRK,11/07/2007,4.1,4.1,4.1,4.1,4000,0
BKD,11/07/2007,2.04,2.04,1.98,2.04,3762000,0
COL,11/07/2007,14,14.25,14,14.25,390400,0
FMIC,11/07/2007,41.5,42,41.5,42,500,0
I,11/07/2007,5.1,5.3,5,5.2,4903000,25000
MFC,11/07/2007,1970,1970,1970,1970,320,0
NRCP,11/07/2007,3.35,3.35,3.25,3.3,2232000,-2797100
PCIL,11/07/2007,1.94,1.94,1.94,1.94,140000,0
PSE,11/07/2007,1285,1310,1205,1305,6370,1843500
SLF,11/07/2007,2480,2500,2480,2500,1730,300400
V,11/07/2007,1.6,1.6,1.6,1.6,476000,0
^INDUSTRIAL,11/07/2007,4646.85,4657.49,4595.89,4615.18,831070,-74638
AP,11/07/2007,5.6,5.6,5.5,5.5,1453000,0
EDC,11/07/2007,7.5,7.5,7.4,7.5,15284000,-1263100
FGEN,11/07/2007,61,62,60,60.5,1492200,-63944050
FPH,11/07/2007,84,85,84,84.5,776700,-21329350
MER,11/07/2007,83.5,83.5,83,83.5,1367200,27159450
MWC,11/07/2007,17.5,17.5,17.25,17.25,4287600,11626500
PCOR,11/07/2007,7,7,6.8,6.8,8295000,15280200
PNX,11/07/2007,7.6,7.7,7.6,7.7,41000,0
SPC,11/07/2007,2.4,2.4,2.4,2.4,30000,-72000
TA,11/07/2007,2,2.1,1.92,1.92,15630000,-204200
AMC,11/07/2007,5.3,5.3,5.3,5.3,325000,-265000
JFC,11/07/2007,50,50,49.5,50,826000,9321500
RFM,11/07/2007,0.71,0.71,0.71,0.71,210000,0
ROX,11/07/2007,2.6,2.65,2.6,2.65,190000,0
SFI,11/07/2007,0.44,0.44,0.44,0.44,20000,0
SMC,11/07/2007,57,57,55.5,55.5,160000,0
SMCB,11/07/2007,58,60,58,58,490500,-6065350
TDY,11/07/2007,5.6,5.6,5.6,5.6,6000,0
TUNA,11/07/2007,1.9,1.9,1.86,1.88,908000,0
URC,11/07/2007,14.75,14.75,14.5,14.75,10503000,-42515225
VITA,11/07/2007,0.39,0.39,0.39,0.39,50000,0
