^FINANCIAL,10/01/2007,908.52,916.52,904.12,914.96,850762,-194019
ASIA,10/01/2007,8.8,9,8.8,9,73000,0
BDO,10/01/2007,59,59.5,58.5,59.5,434200,-9145950
BPI,10/01/2007,66,66.5,65.5,66.5,2954300,-68624050
CHIB,10/01/2007,700,700,690,700,10070,1901750
CSB,10/01/2007,23.25,23.25,23.25,23.25,300,0
EIB,10/01/2007,0.42,0.44,0.42,0.43,990000,0
MBT,10/01/2007,56.5,57,55.5,56,7491600,-128353450
PNB,10/01/2007,47.5,48.5,47.5,48.5,421100,8144300
PSB,10/01/2007,61,62.5,61,62.5,2200,0
RCB,10/01/2007,23.5,26.5,23.5,26,4332800,32713200
SECB,10/01/2007,75.5,75.5,75.5,75.5,1800,0
UBP,10/01/2007,55,55,54,54,759200,-30232450
BKD,10/01/2007,1.92,1.96,1.9,1.96,3498000,0
COL,10/01/2007,11.5,12,11.5,12,265600,0
FAF,10/01/2007,0.87,0.87,0.87,0.87,900000,-365400
FFI,10/01/2007,7.1,7.1,7.1,7.1,2000,0
NRCP,10/01/2007,3.6,3.75,3.6,3.75,4589000,-57600
PCIL,10/01/2007,1.94,1.94,1.94,1.94,137000,0
PSE,10/01/2007,770,770,760,770,1200,0
SLF,10/01/2007,2300,2330,2300,2330,250,0
V,10/01/2007,1.52,1.56,1.52,1.56,62000,0
^INDUSTRIAL,10/01/2007,4572.05,4653.86,4562.83,4647.7,610335,172450
AP,10/01/2007,5.3,5.3,5.2,5.3,821000,0
EDC,10/01/2007,6.4,6.6,6.3,6.6,25863000,1240000
FGEN,10/01/2007,63.5,66,63.5,66,113300,3437000
FPH,10/01/2007,78,79,78,78.5,148300,-4521000
MER,10/01/2007,82.5,84,82,83.5,1109300,61213750
MWC,10/01/2007,14,15,14,14.75,6858900,36817550
PCOR,10/01/2007,5.7,5.9,5.7,5.9,3932000,-7266600
PNX,10/01/2007,7.2,7.6,7.2,7.5,45000,0
PWR,10/01/2007,0.31,0.31,0.3,0.3,630000,0
TA,10/01/2007,1.24,1.3,1.24,1.28,1440000,0
AMC,10/01/2007,5.2,5.2,5.2,5.2,8000,0
GSMI,10/01/2007,24.5,24.5,24.5,24.5,12000,0
JFC,10/01/2007,52.5,53,52.5,53,343600,3459250
PCKH,10/01/2007,8.4,8.4,8,8,3000,0
RFM,10/01/2007,0.82,0.82,0.82,0.82,10000,0
ROX,10/01/2007,2.5,2.5,2.5,2.5,120000,0
SFI,10/01/2007,0.49,0.49,0.49,0.49,200000,0
SMC,10/01/2007,62,63,61.5,62,319300,0
SMCB,10/01/2007,63,65,63,64,177200,-4740950
TUNA,10/01/2007,1.8,1.8,1.76,1.78,532000,0
URC,10/01/2007,16.25,16.5,16,16.25,1456900,341250
VITA,10/01/2007,0.39,0.39,0.39,0.39,60000,0
CMT,10/01/2007,1.22,1.3,1.22,1.28,18077000,0
EEI,10/01/2007,4.35,4.6,4.35,4.6,539000,-27300
FED,10/01/2007,6.1,7.1,6.1,7.1,47000,244000
HLCM,10/01/2007,8.2,8.4,8.2,8.3,10473000,83461400
RCM,10/01/2007,4,4,4,4,30000,80000
COAT,10/01/2007,4.15,4.2,4.1,4.2,1641000,-1288050
PCP,10/01/2007,0.41,0.42,0.4,0.42,16500000,0
PMPC,10/01/2007,6.9,7,6.9,7,4000,0
^HOLDING,10/01/2007,2033.33,2047.78,2025.93,2038.65,340442,-8018
ABA,10/01/2007,0.011,0.011,0.01,0.011,77600000,0
ABAB,10/01/2007,0.012,0.012,0.012,0.012,26700000,32400
AC,10/01/2007,550,555,545,550,131220,5150600
AEV,10/01/2007,7,7.2,7,7.2,34000,108000
AGI,10/01/2007,5.2,5.5,5.2,5.4,10803000,43013900
AJO,10/01/2007,0.105,0.105,0.1,0.105,3850000,0
ANS,10/01/2007,3.3,3.3,3.3,3.3,81000,0
APC,10/01/2007,0.85,0.89,0.83,0.87,22290000,42800
APM,10/01/2007,0.015,0.016,0.015,0.016,195800000,-1440000
APO,10/01/2007,2.32,2.38,2.3,2.36,2322000,-1261260
BPC,10/01/2007,4.15,4.25,4.15,4.25,8120000,-16067900
DMC,10/01/2007,9.1,9.3,9.1,9.3,869000,-930000
ETON,10/01/2007,4,4,4,4,1000,0
FDC,10/01/2007,5.4,5.7,5.4,5.7,4655000,-23836400
FJP,10/01/2007,1.6,1.6,1.6,1.6,50000,0
HI,10/01/2007,1.92,2,1.92,2,190000,-150000
JGS,10/01/2007,10.75,10.75,10.5,10.75,515400,3100575
JOH,10/01/2007,1.82,1.9,1.8,1.9,455000,0
MIC,10/01/2007,6.3,6.6,6.3,6.4,7433000,-467200
PA,10/01/2007,0.19,0.195,0.18,0.185,111790000,0
PAL,10/01/2007,7.1,7.3,7.1,7.2,448000,0
POPI,10/01/2007,0.47,0.49,0.47,0.49,6940000,-49000
SGI,10/01/2007,0.72,0.72,0.71,0.71,320000,0
SINO,10/01/2007,0.41,0.44,0.41,0.42,22780000,-4200
SM,10/01/2007,370,370,367.5,367.5,41530,-15144100
SOC,10/01/2007,1.46,1.46,1.42,1.46,66000,0
WIN,10/01/2007,0.4,0.4,0.38,0.4,12560000,-117000
ZHI,10/01/2007,0.7,0.7,0.7,0.7,10000,0
^PROPERTY,10/01/2007,1614.36,1667.11,1606.68,1649.79,973716,-200133
ALHI,10/01/2007,7.9,7.9,7.8,7.9,15000,0
ALI,10/01/2007,16.25,16.75,16,16.5,12796900,-43113400
ARA,10/01/2007,0.73,0.8,0.73,0.8,1230000,0
BEL,10/01/2007,1.22,1.26,1.22,1.26,2729000,6300
BRN,10/01/2007,1.5,1.5,1.5,1.5,68000,0
CDC,10/01/2007,1.8,1.8,1.8,1.8,2000,0
CEI,10/01/2007,0.63,0.64,0.63,0.64,1840000,0
CHI,10/01/2007,4,4.3,4,4.2,1120000,-4137000
CYBR,10/01/2007,0.49,0.52,0.49,0.52,4120000,-996000
ELI,10/01/2007,0.71,0.79,0.7,0.77,33890000,1186400
EVER,10/01/2007,0.28,0.28,0.27,0.27,7670000,54000
FLI,10/01/2007,1.76,1.8,1.7,1.74,74553000,-50381260
GO,10/01/2007,0.28,0.28,0.28,0.28,220000,0
KEP,10/01/2007,2.04,2.04,2.04,2.04,53000,-108120
LND,10/01/2007,1.24,1.36,1.22,1.3,64335000,14084920
MEG,10/01/2007,3.45,3.9,3.45,3.85,75738000,2240300
MPI,10/01/2007,3.9,4.2,3.9,4.2,986000,0
MRC,10/01/2007,0.59,0.63,0.58,0.61,7770000,0
PHES,10/01/2007,0.37,0.39,0.37,0.39,2680000,0
RLC,10/01/2007,16.5,17.25,16.5,17.25,10772300,-108819750
RLT,10/01/2007,0.5,0.53,0.5,0.53,4270000,0
SHNG,10/01/2007,2.34,2.42,2.34,2.36,386000,98420
SMDC,10/01/2007,4.3,4.45,4.3,4.45,924000,0
SMPH,10/01/2007,12,12,11.5,11.5,2204800,-10108400
SUN,10/01/2007,0.67,0.72,0.67,0.69,4990000,-140000
UW,10/01/2007,0.28,0.28,0.28,0.28,1830000,0
VLL,10/01/2007,5.1,5.1,4.9,5.1,308000,0
