^FINANCIAL,12/24/2008,448.77,456.89,444.7,456.89,136236,3032
BDO,12/24/2008,23.5,24,23.5,24,252200,1295000
BPI,12/24/2008,37.5,38.5,37,38.5,777100,-10041200
CHIB,12/24/2008,392.5,395,370,395,15770,0
CSB,12/24/2008,26,27,26,27,3800,0
EIBA,12/24/2008,0.135,0.15,0.135,0.15,510000,0
MBT,12/24/2008,22.75,23.25,22.75,23,1103800,11092500
PNB,12/24/2008,14.25,14.25,13.75,14,186100,-1988250
RCB,12/24/2008,9.3,9.8,9.3,9.8,443000,2749200
SECB,12/24/2008,24.5,25,24,25,694000,-790250
UBP,12/24/2008,21.75,21.75,21.25,21.5,125800,79875
ATRK,12/24/2008,2.18,2.18,2.18,2.18,5000,0
BKD,12/24/2008,1.18,1.28,1.18,1.28,185000,0
COL,12/24/2008,4.1,4.5,4.1,4.5,772000,-95000
FAF,12/24/2008,0.55,0.57,0.55,0.57,600000,0
FFI,12/24/2008,5,5,5,5,1000,0
I,12/24/2008,4.4,4.95,4.4,4.95,6652000,0
MED,12/24/2008,0.15,0.15,0.15,0.15,1380000,0
NRCP,12/24/2008,1.26,1.26,1.26,1.26,341000,0
PSE,12/24/2008,128,135,128,135,24830,730880
V,12/24/2008,1.06,1.1,1.04,1.1,2445000,0
^INDUSTRIAL,12/24/2008,2117.54,2152.33,2112.83,2145.65,239687,-47206
AP,12/24/2008,3.75,3.85,3.7,3.8,2769000,-4126100
EDC,12/24/2008,1.84,1.92,1.82,1.9,35850000,-25905800
FGEN,12/24/2008,9.8,9.9,9.8,9.8,77000,107900
FPH,12/24/2008,15.25,16,15.25,15.25,830400,-4733375
MWC,12/24/2008,13,13.25,13,13.25,304800,886600
PCOR,12/24/2008,5.1,5.3,5.1,5.1,1204000,0
PNX,12/24/2008,3.2,3.7,3.2,3.7,1743000,0
TA,12/24/2008,0.7,0.7,0.7,0.7,10000,0
CAC,12/24/2008,2.75,2.75,2.75,2.75,3000,0
GSMI,12/24/2008,13.25,13.25,13.25,13.25,200,0
JFC,12/24/2008,41.5,41.5,40.5,41.5,438400,-16499350
PIP,12/24/2008,0.87,0.87,0.85,0.85,320000,-43500
RFM,12/24/2008,0.25,0.25,0.25,0.25,50000,0
SMB,12/24/2008,8.3,8.3,8.3,8.3,46000,-298800
SMC,12/24/2008,40,40.5,40,40.5,8800,0
SMCB,12/24/2008,42,42.5,42,42.5,7200,0
TUNA,12/24/2008,1.46,1.48,1.4,1.48,570000,1460
URC,12/24/2008,5.5,5.8,5.5,5.8,1018000,4210600
VITA,12/24/2008,0.165,0.165,0.165,0.165,120000,0
BCI,12/24/2008,10,10,10,10,1000,0
CMT,12/24/2008,0.29,0.29,0.29,0.29,400000,0
EEI,12/24/2008,0.76,0.76,0.76,0.76,90000,-68400
HLCM,12/24/2008,1.9,1.9,1.9,1.9,72000,-136800
T,12/24/2008,2.38,2.7,2.38,2.7,385000,0
COAT,12/24/2008,1.64,1.64,1.62,1.64,418000,-603520
MVC,12/24/2008,0.4,0.4,0.4,0.4,760000,0
ION,12/24/2008,0.4,0.4,0.4,0.4,50000,0
MUSX,12/24/2008,0.11,0.115,0.1,0.115,34740000,3000
SPH,12/24/2008,3,3,3,3,2000,0
^HOLDING,12/24/2008,890.14,902.43,887.72,897.45,124340,-15376
ABA,12/24/2008,0.5,0.64,0.45,0.63,2470000,-66500
AC,12/24/2008,205,211,205,209,270160,-4322990
AGI,12/24/2008,1.76,1.78,1.74,1.74,13229000,-2092740
AJO,12/24/2008,0.03,0.03,0.03,0.03,500000,0
ANS,12/24/2008,2.2,2.22,2.2,2.2,1010000,0
APO,12/24/2008,0.56,0.61,0.55,0.58,3340000,0
ATNB,12/24/2008,4.3,4.7,4.3,4.7,110000,0
BPC,12/24/2008,0.96,0.97,0.96,0.97,3290000,-1454700
DMC,12/24/2008,2.6,2.65,2.6,2.65,3321000,-1852350
FJP,12/24/2008,1.2,1.22,1.2,1.22,24000,0
JGS,12/24/2008,1.74,1.74,1.7,1.7,1243000,-34000
LIHC,12/24/2008,2.7,3.1,2.6,3.1,466000,0
MHC,12/24/2008,0.15,0.2,0.15,0.2,290000,0
MIC,12/24/2008,1.92,1.92,1.68,1.7,1090000,0
POPI,12/24/2008,0.17,0.17,0.17,0.17,230000,0
SINO,12/24/2008,0.12,0.12,0.12,0.12,2560000,0
SM,12/24/2008,192,194,190,192,108050,-5552930
WIN,12/24/2008,0.145,0.145,0.145,0.145,10000,0
^PROPERTY,12/24/2008,617.84,623.77,609.74,623.77,135820,20398
ALI,12/24/2008,6.4,6.5,6.3,6.4,3928000,14005200
BEL,12/24/2008,0.6,0.71,0.6,0.71,9770000,0
BRN,12/24/2008,3.15,3.25,3.15,3.25,197000,0
CEI,12/24/2008,0.03,0.03,0.029,0.029,6100000,0
CHI,12/24/2008,1.4,1.56,1.4,1.56,436000,-241000
ELI,12/24/2008,0.29,0.37,0.28,0.33,53470000,-1500000
FLI,12/24/2008,0.39,0.4,0.39,0.39,13770000,-1130100
HP,12/24/2008,2.5,3,2.5,3,460000,0
IRC,12/24/2008,0.69,0.69,0.69,0.69,10000,0
IRCB,12/24/2008,0.75,0.75,0.75,0.75,10000,0
KEP,12/24/2008,0.9,0.9,0.9,0.9,240000,180000
LND,12/24/2008,0.245,0.245,0.245,0.245,50000,0
MEG,12/24/2008,0.63,0.67,0.63,0.66,42130000,8546200
MRC,12/24/2008,0.11,0.11,0.1,0.1,200000,0
PHES,12/24/2008,0.15,0.15,0.15,0.15,38500000,0
RLC,12/24/2008,4.9,4.9,4.7,4.9,4167000,-4070700
RLT,12/24/2008,0.19,0.205,0.19,0.205,60000,0
SHNG,12/24/2008,0.92,0.92,0.92,0.92,60000,0
SMDC,12/24/2008,2.24,2.28,2.24,2.26,534000,-400340
SMPH,12/24/2008,7.6,7.6,7.4,7.5,1756000,-4968500
UW,12/24/2008,0.1,0.12,0.1,0.12,500000,0
VLL,12/24/2008,1,1.04,0.99,1.02,10220000,9978200
^SERVICE,12/24/2008,1141.22,1150.88,1130.61,1143.59,332895,9245
ABS,12/24/2008,12.25,12.25,12.25,12.25,5500,0
GMA7,12/24/2008,3.5,3.5,3.4,3.45,459000,0
DGTL,12/24/2008,0.96,0.96,0.96,0.96,100000,0
GLO,12/24/2008,755,765,755,760,118550,-20401500
PLTL,12/24/2008,7,7,6.9,6.9,1959000,0
TEL,12/24/2008,2110,2130,2085,2115,99350,31641050
DFNN,12/24/2008,4.8,4.8,4.8,4.8,25000,0
ISM,12/24/2008,0.034,0.035,0.032,0.035,5800000,0
TBGI,12/24/2008,2.8,2.8,2.8,2.8,5000,14000
WEB,12/24/2008,0.028,0.028,0.027,0.028,4000000,0
ATS,12/24/2008,1.64,1.64,1.64,1.64,100000,0
ICT,12/24/2008,13,13,12.75,12.75,38300,-260550
KPM,12/24/2008,2.12,2.12,2.12,2.12,1000,0
MAC,12/24/2008,3.55,3.55,3.4,3.5,32000,0
DHC,12/24/2008,9.5,9.6,9.4,9.6,1211000,0
LR,12/24/2008,0.7,0.72,0.7,0.72,750000,-462000
MJC,12/24/2008,3,3,3,3,5000,0
PEP,12/24/2008,0.57,0.76,0.57,0.72,1610000,989600
WPI,12/24/2008,0.225,0.235,0.225,0.235,6720000,-342350
FEU,12/24/2008,630,630,620,620,300,0
LOTO,12/24/2008,7.4,7.5,7.4,7.5,236000,-928000
PAX,12/24/2008,0.67,0.67,0.6,0.6,1980000,-1004300
^MINING-OIL,12/24/2008,3221.79,3226.66,3196.37,3221.55,24455,-593
APX,12/24/2008,1.1,1.1,1.1,1.1,69000,0
APXB,12/24/2008,1.12,1.12,1.1,1.12,830000,-817600
AR,12/24/2008,0.0028,0.003,0.0028,0.003,65000000,0
AT,12/24/2008,2.75,2.8,2.75,2.75,2343000,0
BC,12/24/2008,6.6,6.6,6.6,6.6,4000,0
DIZ,12/24/2008,1.2,1.2,1.2,1.2,45000,0
GEO,12/24/2008,0.4,0.4,0.39,0.4,5780000,0
LC,12/24/2008,0.0625,0.0625,0.06,0.06,75500000,0
LCB,12/24/2008,0.07,0.07,0.07,0.07,10600000,0
MA,12/24/2008,0.0065,0.0065,0.0065,0.0065,10000000,0
MAB,12/24/2008,0.0065,0.0065,0.0065,0.0065,26000000,0
NI,12/24/2008,3.8,3.8,3.6,3.7,23000,0
OM,12/24/2008,0.007,0.007,0.007,0.007,81000000,0
ORE,12/24/2008,0.36,0.44,0.36,0.44,60000,0
PX,12/24/2008,4.85,4.9,4.85,4.9,1436000,0
SCC,12/24/2008,29.5,29.5,29.5,29.5,700,0
UPM,12/24/2008,0.0032,0.0032,0.0032,0.0032,10000000,0
BSC,12/24/2008,0.13,0.13,0.13,0.13,10000,0
OPMB,12/24/2008,0.008,0.008,0.008,0.008,74000000,224000
