^FINANCIAL,07/24/2008,642.6,656.94,642.6,654.92,553067,51462
ASIA,07/24/2008,7.9,8,7.9,8,37000,0
BDO,07/24/2008,40,40.5,39.5,40.5,3964000,-49808650
BPI,07/24/2008,41,42.5,40.5,41.5,1965100,50877800
CHIB,07/24/2008,555,555,550,550,5840,-2754500
MBT,07/24/2008,35.5,36.5,35.5,36,4831900,108881600
PNB,07/24/2008,27.5,27.5,27,27,276600,810000
RCB,07/24/2008,15.75,16,15.5,15.75,455400,53375
SECB,07/24/2008,55,57,55,57,2044500,-58418250
UBP,07/24/2008,33,34,33,33.5,8100,-23250
COL,07/24/2008,4.25,4.45,4.2,4.35,54000,-218950
FAF,07/24/2008,0.53,0.53,0.53,0.53,100000,0
FFI,07/24/2008,5.7,5.8,5.7,5.8,22000,0
FMIC,07/24/2008,35,37.5,35,37.5,2200,0
I,07/24/2008,2.85,2.85,2.85,2.85,41000,0
MFC,07/24/2008,1520,1520,1520,1520,560,0
NRCP,07/24/2008,2.22,2.24,2.2,2.22,87000,-66600
PSE,07/24/2008,645,650,635,650,4110,2129650
SLF,07/24/2008,1800,1845,1800,1820,1090,0
V,07/24/2008,1.24,1.24,1.24,1.24,439000,0
^INDUSTRIAL,07/24/2008,3022.74,3122.46,3022.74,3122.46,7063851,-71533
AP,07/24/2008,5.2,5.5,5.2,5.4,2761000,1104600
EDC,07/24/2008,4.65,4.85,4.65,4.85,13069000,-21993500
FGEN,07/24/2008,25,27,25,27,4222600,-16073250
FPH,07/24/2008,26,29,26,28.5,3360600,16912650
MER,07/24/2008,56.5,59,56.5,59,2272100,20152800
MWC,07/24/2008,17.25,17.25,17,17,4290900,-60042550
PCOR,07/24/2008,6,6.1,6,6.1,209000,-792000
PNX,07/24/2008,3.3,3.3,3.3,3.3,55000,-19800
TA,07/24/2008,0.96,0.97,0.96,0.97,910000,0
AMC,07/24/2008,4.9,5,4.9,5,14000,0
GSMI,07/24/2008,18.75,18.75,18.75,18.75,7500,46875
JFC,07/24/2008,37,38,36.5,38,994900,7968800
PCKH,07/24/2008,9,9.9,9,9.9,3000,0
SMB,07/24/2008,8.4,8.5,8.4,8.5,680000,-4203000
SMC,07/24/2008,41.5,42.5,41.5,42.5,25800,0
SMCB,07/24/2008,43,43.5,43,43.5,39500,0
TUNA,07/24/2008,1.26,1.38,1.26,1.3,258000,21760
URC,07/24/2008,11,11,11,11,59900,-206800
VITA,07/24/2008,0.29,0.29,0.29,0.29,120000,0
CMT,07/24/2008,0.83,0.84,0.83,0.84,1060000,0
EEI,07/24/2008,2.1,2.12,2.1,2.12,13970000,-12588100
HLCM,07/24/2008,5.5,5.7,5.4,5.7,411000,-784000
RCM,07/24/2008,1.76,1.76,1.76,1.76,28000,0
T,07/24/2008,4.6,4.6,4.35,4.35,1160000,0
COAT,07/24/2008,2.34,2.34,2.32,2.34,6207000,-573980
SPH,07/24/2008,4,4,3.8,3.8,841000,-463700
^HOLDING,07/24/2008,1311.48,1361.29,1311.48,1359.59,365667,81670
ABA,07/24/2008,0.007,0.007,0.007,0.007,16000000,0
AC,07/24/2008,272.5,295,272.5,290,380690,66563275
AEV,07/24/2008,6.7,6.8,6.7,6.7,5621000,-6847300
AGI,07/24/2008,2.85,3,2.85,3,8868000,10555650
AJO,07/24/2008,0.0525,0.055,0.0525,0.055,55700000,0
ANS,07/24/2008,2.8,2.85,2.8,2.8,121000,0
APC,07/24/2008,0.31,0.33,0.31,0.32,2940000,0
APM,07/24/2008,0.013,0.013,0.013,0.013,13000000,0
APO,07/24/2008,2.14,2.14,2.1,2.14,172000,0
ATN,07/24/2008,5.5,5.9,5.3,5.8,1891000,0
ATNB,07/24/2008,5.9,6,5.5,6,377000,0
BPC,07/24/2008,1.08,1.14,1.08,1.14,61503000,4458680
CRC,07/24/2008,3.7,4.5,3.7,4.5,18000,0
DMC,07/24/2008,5.2,5.3,5.2,5.2,965000,-1388000
JGS,07/24/2008,7.6,7.7,7.5,7.7,62000,-385000
JOH,07/24/2008,1.26,1.26,1.26,1.26,1000,0
LIHC,07/24/2008,9.8,10,9.7,9.9,596000,0
MIC,07/24/2008,2.16,2.26,2.16,2.18,2420000,64800
PA,07/24/2008,0.105,0.105,0.1,0.105,60050000,0
POPI,07/24/2008,0.28,0.28,0.28,0.28,400000,0
SINO,07/24/2008,0.21,0.22,0.21,0.215,3080000,0
SM,07/24/2008,272.5,277.5,272.5,277.5,296720,8578075
SOC,07/24/2008,1.4,1.4,1.4,1.4,200000,70000
UNI,07/24/2008,0.13,0.13,0.13,0.13,700000,0
^PROPERTY,07/24/2008,822.29,856.91,822.29,856.91,648117,79056
ALHI,07/24/2008,5.4,6.3,5.4,6.3,17000,0
ALI,07/24/2008,9.1,9.3,9.1,9.3,11755000,31346300
BEL,07/24/2008,0.6,0.64,0.6,0.63,16230000,-31500
BRN,07/24/2008,2.42,2.48,2.4,2.44,328000,-12300
CEI,07/24/2008,0.0575,0.0625,0.0575,0.0625,63700000,62500
CHI,07/24/2008,2.2,2.2,2.2,2.2,7000,0
CYBR,07/24/2008,0.27,0.27,0.27,0.27,1500000,0
ELI,07/24/2008,0.41,0.42,0.4,0.41,3200000,4100
ETON,07/24/2008,2.2,2.2,2.2,2.2,8000,0
EVER,07/24/2008,0.115,0.125,0.115,0.125,4270000,0
FLI,07/24/2008,0.78,0.82,0.78,0.81,94650000,-5452000
HP,07/24/2008,2.34,2.48,2.34,2.34,16000,0
IRC,07/24/2008,0.008,0.008,0.008,0.008,1000000,0
IRCB,07/24/2008,0.008,0.008,0.008,0.008,1000000,0
LND,07/24/2008,0.39,0.4,0.39,0.4,880000,0
MEG,07/24/2008,1.38,1.46,1.38,1.46,164081000,75442580
MRC,07/24/2008,0.23,0.23,0.215,0.22,1360000,0
PHES,07/24/2008,0.19,0.19,0.19,0.19,7280000,0
PRMX,07/24/2008,3.65,3.65,3.65,3.65,106000,0
RLC,07/24/2008,6.6,7.2,6.6,7.1,12200000,13102100
RLT,07/24/2008,0.32,0.32,0.32,0.32,200000,0
SHNG,07/24/2008,1.4,1.42,1.4,1.42,30000,0
SLI,07/24/2008,0.8,0.87,0.8,0.8,490000,-8700
SMDC,07/24/2008,2.02,2.04,2.02,2.04,759000,202000
SMPH,07/24/2008,7.1,7.3,7.1,7.3,13854000,-26999700
SUN,07/24/2008,0.36,0.36,0.35,0.35,600000,0
VLL,07/24/2008,2.12,2.14,2.1,2.12,11420000,-8599240
^SERVICE,07/24/2008,1392.97,1425.42,1392.81,1418.34,567544,109249
ABS,07/24/2008,16.5,16.5,16,16.5,43400,0
GMA7,07/24/2008,6.1,6.3,6.1,6.2,182000,0
MB,07/24/2008,0.62,0.62,0.62,0.62,10000,0
DGTL,07/24/2008,1.28,1.32,1.28,1.32,1673000,0
GLO,07/24/2008,1045,1090,1045,1090,107450,44893900
PLTL,07/24/2008,7.4,7.7,7.4,7.7,4159000,11612400
TEL,07/24/2008,2400,2445,2395,2420,141090,51891250
BHI,07/24/2008,0.12,0.12,0.12,0.12,2300000,0
DFNN,07/24/2008,8.6,9,8.6,8.7,49000,0
ION,07/24/2008,0.93,0.93,0.93,0.93,50000,0
IP,07/24/2008,3.05,3.15,2.9,3,1612000,-930000
IS,07/24/2008,0.0675,0.0675,0.0675,0.0675,1300000,0
ISM,07/24/2008,0.05,0.05,0.048,0.049,100700000,0
MUSX,07/24/2008,0.235,0.24,0.235,0.24,16270000,-12000
TBGI,07/24/2008,3.15,3.35,3.15,3.25,1045000,-1500
WEB,07/24/2008,0.035,0.035,0.034,0.035,83700000,-1383800
ATI,07/24/2008,3.1,3.1,3.1,3.1,24000,0
ATS,07/24/2008,1.04,1.04,1,1,1560000,-1561000
ICT,07/24/2008,28.5,30.5,28.5,30.5,1029500,7456650
DHC,07/24/2008,9.8,9.9,9.8,9.9,695000,0
LR,07/24/2008,2.36,2.38,2.34,2.38,331000,-234000
MJC,07/24/2008,4.2,4.2,4.2,4.2,1075000,0
WPI,07/24/2008,0.52,0.52,0.52,0.52,8480000,-338000
CEU,07/24/2008,6,6,6,6,1000,0
IPO,07/24/2008,2.9,2.9,2.8,2.8,39000,0
JTH,07/24/2008,3,3,3,3,14000,0
LOTO,07/24/2008,8.5,8.6,8.5,8.6,113000,-189200
MAC,07/24/2008,4.05,4.15,4,4.15,844000,-1955350
PAX,07/24/2008,3.3,3.3,3.25,3.3,416000,0
PEP,07/24/2008,0.63,0.65,0.63,0.65,1460000,0
^MINING-OIL,07/24/2008,6630.21,6649.79,6526.52,6607.18,180102,-16085
AR,07/24/2008,0.0055,0.0055,0.0055,0.0055,21000000,0
AT,07/24/2008,13,13.5,12.75,12.75,1485000,2093350
BC,07/24/2008,13,13,13,13,5000,0
BCB,07/24/2008,18,18,18,18,1000,0
DIZ,07/24/2008,3.2,3.25,3.2,3.25,30000,0
GEO,07/24/2008,0.8,0.84,0.8,0.81,84810000,1343500
LC,07/24/2008,0.23,0.235,0.225,0.235,6240000,0
LCB,07/24/2008,0.24,0.24,0.235,0.24,1460000,0
MA,07/24/2008,0.013,0.014,0.013,0.013,21500000,0
MAB,07/24/2008,0.014,0.014,0.014,0.014,20000000,0
NI,07/24/2008,9.5,9.8,9.2,9.3,1186000,317200
OM,07/24/2008,0.0075,0.0075,0.0075,0.0075,31000000,0
ORE,07/24/2008,1.1,1.12,1.08,1.12,243000,0
PX,07/24/2008,6.8,6.9,6.7,6.9,9841000,-18190000
SCC,07/24/2008,54.5,54.5,52,54,31000,-1649500
UPM,07/24/2008,0.41,0.41,0.41,0.41,30000,0
BSC,07/24/2008,0.2,0.2,0.2,0.2,510000,0
OPM,07/24/2008,0.027,0.028,0.027,0.027,150500000,0
OPMB,07/24/2008,0.027,0.028,0.027,0.028,45100000,0
OV,07/24/2008,0.031,0.031,0.031,0.031,87400000,0
PERC,07/24/2008,9.1,9.2,9.1,9.2,5000,0
ACPR,07/24/2008,105,106,105,106,4300,0
TELT,07/24/2008,10.5,10.5,10.5,10.5,300,0
TELU,07/24/2008,10.5,10.5,10.5,10.5,300,0
ABSP,07/24/2008,16,16.5,16,16.5,90000,-413250
GMAP,07/24/2008,6,6.2,6,6.1,4213000,-18975400
OMW2,07/24/2008,0.0038,0.0038,0.0038,0.0038,5000000,0
ICTV,07/24/2008,1.68,1.8,1.68,1.8,29000,0
^ALLSHARES,07/24/2008,1558.39,1594.29,1558.39,1594.29,0,0
^PSEi,07/24/2008,2465.02,2538.65,2465.02,2535.91,9378350,5050845
