^FINANCIAL,03/19/2008,680.31,681.38,673.93,676.53,328076,-22047
ASIA,03/19/2008,6.2,6.2,6.1,6.1,31000,0
BDO,03/19/2008,46,47,46,46,1397300,22351800
BPI,03/19/2008,50.5,50.5,47.5,48,3284000,-37514900
CHIB,03/19/2008,595,605,595,605,1410,0
CSB,03/19/2008,23.5,24.5,23.5,24.5,1000,0
EIBA,03/19/2008,0.3,0.3,0.3,0.3,150000,0
EIBB,03/19/2008,0.31,0.31,0.31,0.31,140000,0
MBT,03/19/2008,38,38.5,37,37,1407900,5087100
PNB,03/19/2008,27.5,28.5,27,28,248400,-3094400
RCB,03/19/2008,17.25,17.25,16.75,17,1081500,-6483075
SECB,03/19/2008,66,66,64,65,95100,970000
UBP,03/19/2008,34,34.5,34,34,17100,-170050
ATRK,03/19/2008,4.15,4.15,4.1,4.1,23000,0
BKD,03/19/2008,1.48,1.48,1.48,1.48,31000,0
COL,03/19/2008,7.4,7.4,7.2,7.4,171000,-177600
FAF,03/19/2008,0.78,0.78,0.78,0.78,10000,0
I,03/19/2008,3.1,3.5,3.1,3.5,35000,0
NRCP,03/19/2008,2.4,2.4,2.36,2.36,872000,0
PSE,03/19/2008,660,680,660,675,23200,-3016650
SLF,03/19/2008,1800,1800,1800,1800,110,0
V,03/19/2008,1.26,1.26,1.24,1.24,142000,0
^INDUSTRIAL,03/19/2008,3570.06,3570.06,3506.52,3518.28,464943,82137
AP,03/19/2008,4.75,4.85,4.7,4.85,755000,1725050
EDC,03/19/2008,5.7,5.7,5.4,5.5,4043000,6922600
FGEN,03/19/2008,31.5,31.5,29,29,1709900,-17568700
FPH,03/19/2008,35.5,35.5,34,34,1098700,-8473850
MER,03/19/2008,79,79,77.5,78,1525400,4491800
MWC,03/19/2008,18.25,18.25,17.75,17.75,6840000,62723600
PCOR,03/19/2008,5.8,5.9,5.7,5.8,5292000,10115200
PNX,03/19/2008,5.2,5.4,5.2,5.4,33000,0
PWR,03/19/2008,0.26,0.33,0.26,0.31,70000,6000
SPC,03/19/2008,2.18,2.18,2.18,2.18,20000,0
TA,03/19/2008,1.06,1.08,1.06,1.06,370000,0
