^FINANCIAL,04/30/2009,501.04,514.88,501.04,514.88,343147,-6458
BDO,04/30/2009,29.5,30,29,30,1173300,8035300
BPI,04/30/2009,39,39.5,38.5,39.5,3802200,-17620950
CHIB,04/30/2009,355,365,355,365,660,0
CSB,04/30/2009,27,27,27,27,500,0
EIBB,04/30/2009,0.22,0.22,0.215,0.215,310000,0
MBT,04/30/2009,29,30.5,29,30,4451400,1890200
PNB,04/30/2009,16,16.25,16,16,631800,-1102400
RCB,04/30/2009,13.25,14,13.25,14,396900,3557250
SECB,04/30/2009,34,35,34,35,600,0
UBP,04/30/2009,24,24,23.5,23.75,291500,-470825
BKD,04/30/2009,1,1,1,1,35000,0
COL,04/30/2009,5.3,5.5,5.3,5.5,98000,0
I,04/30/2009,4.2,4.2,4.2,4.2,10000,0
MED,04/30/2009,0.14,0.14,0.13,0.13,1100000,0
MFC,04/30/2009,680,680,650,680,240,-68000
NRCP,04/30/2009,1.32,1.32,1.32,1.32,74000,-14520
PSE,04/30/2009,270,270,267.5,270,7060,-664200
SLF,04/30/2009,955,1020,955,960,180,0
V,04/30/2009,0.95,0.95,0.95,0.95,20000,0
^INDUSTRIAL,04/30/2009,2853.45,2908.31,2853.45,2885.22,26794625,-22437
ACR,04/30/2009,0.35,0.35,0.35,0.35,20000,7000
AP,04/30/2009,5.1,5.3,5.1,5.3,4120000,-6539900
EDC,04/30/2009,3.45,3.65,3.45,3.6,60197000,69020200
FGEN,04/30/2009,18.25,19.25,18.25,18.75,3713800,-44588875
FPH,04/30/2009,24.25,24.75,24.25,24.75,1088400,3650600
MER,04/30/2009,92.5,93,91.5,91.5,604900,-7791750
MWC,04/30/2009,13.5,13.75,13.25,13.5,6382400,-15312350
PCOR,04/30/2009,5.6,5.7,5.5,5.5,792000,-1065200
PNX,04/30/2009,5.7,5.7,5.5,5.5,68000,-5600
PWR,04/30/2009,0.205,0.215,0.205,0.215,160000,0
AMC,04/30/2009,3.95,3.95,3.95,3.95,1000,0
GSMI,04/30/2009,13,13,12.75,12.75,5100,0
JFC,04/30/2009,46,47,46,46,731900,2282650
PIP,04/30/2009,1.1,1.1,1.08,1.08,8025000,-4715400
RFM,04/30/2009,0.34,0.35,0.34,0.35,710000,0
ROX,04/30/2009,3,3,3,3,10000,0
SFI,04/30/2009,0.15,0.15,0.15,0.15,280000,-42000
SMB,04/30/2009,8.5,8.6,8.5,8.6,41000,17200
SMC,04/30/2009,50,50,49.5,50,33500,0
SMCB,04/30/2009,50.5,51,50.5,51,23100,570700
