^FINANCIAL,09/14/2009,619.02,619.02,609.97,616.01,717402,-78471
BDO,09/14/2009,35,35,34.5,34.5,1356400,18677350
BPI,09/14/2009,44.5,44.5,43.5,44,596900,-17203000
CHIB,09/14/2009,390,390,380,390,39220,3073950
MBT,09/14/2009,37.5,37.5,37,37.5,1582100,-2295000
PNB,09/14/2009,24,24,23.5,23.5,1097700,-17240550
RCB,09/14/2009,17.5,17.5,17.25,17.5,304000,582875
SECB,09/14/2009,51,55,50.5,55,10213400,-64992600
UBP,09/14/2009,30,30.5,30,30.5,270100,912700
BLFI,09/14/2009,1.2,1.2,1.18,1.18,3000,0
COL,09/14/2009,10.25,10.25,10,10.25,30600,0
I,09/14/2009,4.6,4.6,4.5,4.5,161000,0
MED,09/14/2009,0.19,0.19,0.19,0.19,120000,0
MFC,09/14/2009,850,850,850,850,240,0
NRCP,09/14/2009,2.1,2.1,2.04,2.06,838000,12360
PSE,09/14/2009,330,335,327.5,327.5,2080,0
V,09/14/2009,1.14,1.16,1.12,1.12,587000,0
^INDUSTRIAL,09/14/2009,4175.13,4179.35,4097.07,4114.38,614443,-49362
AP,09/14/2009,6.6,6.6,6.5,6.5,3305000,4593000
EDC,09/14/2009,4.9,4.9,4.75,4.85,20560000,-25393000
FGEN,09/14/2009,18.25,18.5,17.75,17.75,2001600,-11751200
FPH,09/14/2009,41,41,39.5,39.5,1230400,-12667950
MER,09/14/2009,190,191,180,184,628080,-16481920
MWC,09/14/2009,16,16.25,15.75,16,3907300,13128000
PCOR,09/14/2009,5.4,5.4,5.3,5.3,1425000,69000
PNX,09/14/2009,5.1,5.2,5.1,5.2,130000,-608400
PWR,09/14/2009,0.3,0.3,0.29,0.3,300000,0
TA,09/14/2009,1.1,1.1,1.08,1.08,1881000,0
AMC,09/14/2009,5.7,5.7,5.7,5.7,11000,22800
ANI,09/14/2009,18.25,18.25,17.25,17.5,168500,-172500
BMM,09/14/2009,30,30,30,30,100,0
