^FINANCIAL,06/11/2010,713.14,717.82,710.3,715.42,217538,70926
ASIA,06/11/2010,6.1,6.1,6.1,6.1,19000,0
BDO,06/11/2010,44.5,44.5,43.5,44,632500,11947600
BPI,06/11/2010,44.5,44.5,44,44.5,1366800,24977150
CHIB,06/11/2010,460,462.5,460,462.5,9610,2934800
MBT,06/11/2010,54,54.5,54,54.5,1543900,45870750
PNB,06/11/2010,29.5,29.5,29,29,334500,-5678200
PSB,06/11/2010,55,55,55,55,200,0
PTC,06/11/2010,58,58,58,58,1500,0
RCB,06/11/2010,18.75,18.75,18.75,18.75,209700,691875
SECB,06/11/2010,61.5,62,61.5,61.5,255200,-5870650
UBP,06/11/2010,41,41,39.5,39.5,119300,-3932850
COL,06/11/2010,10.75,10.75,10.25,10.5,1800,0
FMIC,06/11/2010,26.5,26.5,26.5,26.5,200,0
I,06/11/2010,4.45,4.45,4.3,4.3,41000,0
MED,06/11/2010,0.37,0.37,0.37,0.37,10000,0
MFC,06/11/2010,720,720,720,720,30,0
NRCP,06/11/2010,1.54,1.72,1.54,1.66,3371000,0
PSE,06/11/2010,270,270,262.5,262.5,350,-13500
SLF,06/11/2010,1210,1250,1210,1250,190,0
V,06/11/2010,1.44,1.44,1.44,1.44,179000,0
^INDUSTRIAL,06/11/2010,5159.34,5174.96,5103.24,5116.75,866726,1973
ACR,06/11/2010,0.9,0.9,0.89,0.89,170000,0
AP,06/11/2010,18,18.25,17.75,18.25,18179400,21525000
EDC,06/11/2010,4.75,4.8,4.65,4.65,24617000,-27928900
FGEN,06/11/2010,10.75,10.75,10.5,10.75,5111000,683000
FPH,06/11/2010,55.5,56.5,54.5,55,1196100,18061900
MER,06/11/2010,192,194,189,189,293860,14720710
MWC,06/11/2010,15.25,15.25,15,15,232500,-851300
PCOR,06/11/2010,6.9,6.9,6.8,6.8,126000,0
PNX,06/11/2010,6.9,7,6.8,7,26000,-7000
PWR,06/11/2010,0.26,0.28,0.26,0.28,70000,0
SPC,06/11/2010,3.35,3.35,3.35,3.35,5000,0
TA,06/11/2010,1.14,1.18,1.14,1.18,98000,0
AMC,06/11/2010,10,10.75,10,10.25,1218000,-7263750
ANI,06/11/2010,15.75,16,15.5,15.75,434800,-157500
CAT,06/11/2010,12,12,12,12,2000,0
GSMI,06/11/2010,32,32,31.5,32,43200,646400
JFC,06/11/2010,62,63,61,62.5,88700,858150
LFM,06/11/2010,34,34,34,34,2400,0
PIP,06/11/2010,3,3,2.95,2.95,8927000,0
RFM,06/11/2010,1.06,1.18,1.06,1.18,36863000,1033740
SFI,06/11/2010,0.19,0.205,0.19,0.2,35530000,0
SMB,06/11/2010,10.25,10.25,10,10.25,33100,5800
SMC,06/11/2010,72.5,73.5,72.5,72.5,16100,0
SMCB,06/11/2010,73,73,73,73,900,0
TUNA,06/11/2010,1.6,1.6,1.58,1.6,56000,0
URC,06/11/2010,26.5,26.5,26,26.5,4142700,-21386850
CMT,06/11/2010,1.02,1.02,1,1,1598000,0
EEI,06/11/2010,3.95,3.95,3.85,3.85,4271000,1925000
HLCM,06/11/2010,5.3,5.5,5.3,5.4,416000,0
RCM,06/11/2010,4.1,4.35,4.1,4.3,411000,-86000
VUL,06/11/2010,0.92,0.92,0.91,0.91,980000,0
COAT,06/11/2010,2.42,2.55,2.42,2.46,1539000,195200
AAI,06/11/2010,9,9,9,9,1000,0
ALPHA,06/11/2010,47,47,46,47,5000,0
IMI,06/11/2010,12.25,12.25,12.25,12.25,79000,0
ION,06/11/2010,1.2,1.2,1.2,1.2,35000,0
MUSX,06/11/2010,0.075,0.0775,0.075,0.0775,7000000,0
SPH,06/11/2010,2.65,2.65,2.6,2.65,257000,0
^HOLDING,06/11/2010,2207.36,2236.26,2198.86,2208.44,822060,-91270
ABA,06/11/2010,0.58,0.59,0.57,0.59,5290000,-70600
AC,06/11/2010,320,320,317.5,320,553230,-76948850
AEV,06/11/2010,19.5,19.5,19,19.25,8884300,-2815500
AGI,06/11/2010,5.7,5.7,5.6,5.6,22888000,32147400
AJO,06/11/2010,0.033,0.034,0.033,0.034,4500000,0
ANS,06/11/2010,2.2,2.26,2.2,2.26,77000,0
APO,06/11/2010,1.18,1.2,1.18,1.2,338000,0
ATN,06/11/2010,4.35,4.5,4.35,4.5,41000,0
BPC,06/11/2010,3.75,3.75,3.65,3.65,6320000,6948700
DMC,06/11/2010,17.5,17.5,17,17,7153300,-69204750
FDC,06/11/2010,2.3,2.9,2.3,2.85,12285000,-174500
HI,06/11/2010,2.44,2.5,2.44,2.5,79000,-97600
JGS,06/11/2010,15.25,15.5,14.75,14.75,1655600,-425750
JOH,06/11/2010,2.14,2.3,2.14,2.14,99000,0
KPH,06/11/2010,2.1,2.4,2.1,2.28,122000,0
LIHC,06/11/2010,7.7,7.8,7.7,7.8,44000,0
MHC,06/11/2010,0.53,0.54,0.51,0.53,190000,0
MIC,06/11/2010,2.8,2.8,2.7,2.7,30000,0
MPI,06/11/2010,2.9,2.9,2.75,2.8,21909000,-23952800
PA,06/11/2010,0.0625,0.065,0.0625,0.065,400000,0
POPI,06/11/2010,0.4,0.4,0.39,0.39,900000,0
PRIM,06/11/2010,2.7,2.7,2.3,2.3,1901000,136660
REG,06/11/2010,1.5,1.5,1.5,1.5,2000,0
SGI,06/11/2010,0.76,0.76,0.75,0.75,210000,0
SINO,06/11/2010,0.28,0.28,0.28,0.28,1980000,0
SM,06/11/2010,402.5,407.5,402.5,405,167780,43187375
SOC,06/11/2010,2.18,2.18,2.16,2.16,109000,0
SPM,06/11/2010,0.99,0.99,0.99,0.99,10000,0
UNI,06/11/2010,0.14,0.145,0.13,0.13,2580000,0
WIN,06/11/2010,0.095,0.095,0.095,0.095,300000,0
ZHI,06/11/2010,0.18,0.18,0.17,0.175,670000,0
^PROPERTY,06/11/2010,1190.14,1199.98,1170.35,1176.38,422911,132168
ALI,06/11/2010,13.75,13.75,13.25,13.5,9217900,63874775
BEL,06/11/2010,1.8,1.8,1.78,1.8,239000,0
BRN,06/11/2010,3.25,3.25,3.2,3.25,280000,0
CDC,06/11/2010,1.6,1.6,1.6,1.6,15000,0
CEI,06/11/2010,0.036,0.036,0.036,0.036,200000,0
CHI,06/11/2010,2.12,2.12,2.12,2.12,3592000,0
CYBR,06/11/2010,0.65,0.65,0.65,0.65,2860000,0
ELI,06/11/2010,0.38,0.42,0.38,0.42,1350000,-38000
ETON,06/11/2010,3.55,3.65,3.5,3.5,169000,-17600
EVER,06/11/2010,0.11,0.125,0.11,0.125,510000,0
FLI,06/11/2010,0.94,0.95,0.92,0.94,45110000,0
IRCB,06/11/2010,0.81,0.81,0.81,0.81,100000,-81000
MEG,06/11/2010,1.26,1.28,1.24,1.24,85441000,19935120
MRC,06/11/2010,0.78,0.78,0.75,0.78,1180000,0
PHES,06/11/2010,0.09,0.09,0.09,0.09,300000,0
PO,06/11/2010,2.8,2.9,2.7,2.7,46000,0
RLC,06/11/2010,14,14.25,14,14.25,4857100,43278350
RLT,06/11/2010,0.6,0.6,0.6,0.6,1820000,0
SHNG,06/11/2010,1.74,1.76,1.74,1.76,9000,0
SMDC,06/11/2010,7.1,7.1,6.9,6.9,308000,-345000
SMPH,06/11/2010,10.5,10.75,10.25,10.25,5921500,5308850
SUN,06/11/2010,0.46,0.46,0.46,0.46,220000,0
VLL,06/11/2010,1.62,1.62,1.58,1.6,950000,252600
^SERVICE,06/11/2010,1446.95,1449.68,1441.7,1443.97,664640,23833
ABS,06/11/2010,36.5,36.5,36,36,18800,0
GMA7,06/11/2010,6.5,6.5,6.4,6.4,145000,0
DGTL,06/11/2010,1.62,1.64,1.58,1.6,28032000,-9074260
GLO,06/11/2010,870,870,865,865,29770,-17227750
LIB,06/11/2010,4.05,4.15,4.05,4.15,77000,0
TEL,06/11/2010,2400,2415,2400,2405,193760,-40185050
BHI,06/11/2010,0.06,0.06,0.06,0.06,3000000,0
DFNN,06/11/2010,7.3,7.4,7.2,7.3,178000,792000
EG,06/11/2010,42,43.5,42,43.5,1200,0
IP,06/11/2010,1.34,1.38,1.34,1.38,193000,0
IS,06/11/2010,0.06,0.06,0.06,0.06,1000000,0
ISM,06/11/2010,0.05,0.05,0.049,0.05,17700000,-642000
TBGI,06/11/2010,3.75,3.75,3.7,3.7,485000,0
WEB,06/11/2010,15.5,15.5,15.25,15.5,71300,-274000
ATI,06/11/2010,5.5,5.5,5.5,5.5,70000,0
ATS,06/11/2010,1.08,1.08,1.08,1.08,313000,0
ICT,06/11/2010,27.5,27.5,27,27.5,4257700,90524100
LSC,06/11/2010,1.04,1.1,1.04,1.1,142000,0
MAC,06/11/2010,2.85,2.85,2.85,2.85,1000,0
LR,06/11/2010,1.5,1.54,1.5,1.54,201000,0
FEU,06/11/2010,775,775,775,775,430,0
APC,06/11/2010,0.5,0.51,0.5,0.5,880000,0
ECP,06/11/2010,2.38,2.38,2.38,2.38,1000,0
ICTV,06/11/2010,0.81,0.81,0.81,0.81,70000,0
JTH,06/11/2010,1.4,1.4,1.4,1.4,7000,0
LOTO,06/11/2010,15.5,15.5,15.5,15.5,16100,0
PAX,06/11/2010,1.78,1.8,1.76,1.76,418000,-79800
^MINING-OIL,06/11/2010,8820.99,8825.32,8651.4,8742.71,171033,3738
AB,06/11/2010,47,47,46,47,1800,14100
APX,06/11/2010,2.22,2.22,2.22,2.22,10000,0
APXB,06/11/2010,2.18,2.24,2.18,2.24,10000,0
AR,06/11/2010,0.0038,0.0038,0.0038,0.0038,82000000,0
AT,06/11/2010,9.2,9.2,9.2,9.2,359000,0
CPM,06/11/2010,3,3.15,3,3.1,33577000,2983400
DIZ,06/11/2010,3.95,3.95,3.9,3.9,45000,0
GEO,06/11/2010,0.68,0.69,0.66,0.67,5900000,67000
LC,06/11/2010,0.22,0.22,0.215,0.22,410000,0
LCB,06/11/2010,0.225,0.225,0.225,0.225,510000,0
MA,06/11/2010,0.02,0.021,0.02,0.021,10000000,0
MAB,06/11/2010,0.02,0.021,0.02,0.02,2000000,0
NI,06/11/2010,3.45,3.5,3.3,3.4,323000,6500
OM,06/11/2010,0.012,0.012,0.011,0.011,90000000,0
ORE,06/11/2010,2.02,2.04,1.98,1.98,1721000,0
PX,06/11/2010,12.75,12.75,12.25,12.5,2735800,666250
SCC,06/11/2010,77,78.5,77,78,238200,0
UPM,06/11/2010,0.01,0.011,0.01,0.011,14000000,0
BSC,06/11/2010,0.145,0.145,0.145,0.145,510000,1450
OPM,06/11/2010,0.012,0.012,0.012,0.012,2800000,0
OPMB,06/11/2010,0.012,0.012,0.012,0.012,800000,0
OV,06/11/2010,0.013,0.013,0.013,0.013,7100000,0
PECB,06/11/2010,24.5,25,24.5,25,3300,0
PERC,06/11/2010,5.4,5.5,5.3,5.3,55000,0
ACPA,06/11/2010,530,530,530,530,500,0
ACPR,06/11/2010,106,106,106,106,6100,0
FPHP,06/11/2010,101,102,101,102,11300,0
PPREF,06/11/2010,104,104,104,104,14900,0
TELI,06/11/2010,10.5,10.5,10.5,10.5,700,0
TELM,06/11/2010,10.5,10.5,10.5,10.5,2300,0
TELN,06/11/2010,10.5,10.5,10.5,10.5,100,0
TELR,06/11/2010,10.5,10.5,10.5,10.5,300,0
TELS,06/11/2010,10.5,10.5,10.5,10.5,1000,0
GMAP,06/11/2010,6.4,6.4,6.3,6.4,156000,0
MEGW1,06/11/2010,0.53,0.54,0.53,0.53,420000,0
OMW2,06/11/2010,0.004,0.004,0.004,0.004,2000000,0
^ALLSHARES,06/11/2010,2089.52,2094.46,2080.46,2085.94,0,0
^PSEi,06/11/2010,3272.57,3288.46,3253.78,3265.44,3164910,141364
