^FINANCIAL,10/10/2011,910,919.16,904.14,919.15,8993,-93359
BDO,10/10/2011,51.2,52.5,50.55,52.15,2110650,-15550398
BPI,10/10/2011,55.6,55.6,55,55.5,1323160,-14225035
CHIB,10/10/2011,381.2,381.2,380,380,67840,8453900
CSB,10/10/2011,28.5,28.5,28.5,28.5,500,0
MBT,10/10/2011,65,66.1,63.9,66.1,2466390,5572218
PBC,10/10/2011,87.95,87.95,87.95,87.95,100,0
PNB,10/10/2011,45.8,47.65,45.8,47.5,516300,-19707390
PSB,10/10/2011,70,70,70,70,5110,0
RCB,10/10/2011,31.5,32.05,31.35,32.05,357600,-5760750
SECB,10/10/2011,86,86,85.9,85.95,1812590,-59393994
UBP,10/10/2011,59.5,60,59.5,60,267260,7251860
ATRK,10/10/2011,4.1,4.1,4.1,4.1,50000,0
COL,10/10/2011,15.62,15.62,15.6,15.6,1500,0
FFI,10/10/2011,8.16,8.16,8.1,8.1,600,0
I,10/10/2011,2.29,2.29,2.27,2.27,5000,0
MFC,10/10/2011,490,490,480,480,1460,0
NRCP,10/10/2011,1.35,1.46,1.35,1.46,5000,0
PSE,10/10/2011,225,225.4,225,225,620,0
SLF,10/10/2011,1065,1065,1065,1065,5,0
V,10/10/2011,1.43,1.43,1.43,1.43,1000,0
^INDUSTRIAL,10/10/2011,6709.38,6748.77,6697.93,6744.91,98407,-50220
AP,10/10/2011,29,29.6,29,29.55,2650600,9410705
ACR,10/10/2011,1.18,1.19,1.18,1.19,100000,0
PWR,10/10/2011,1.8,1.93,1.78,1.89,2097000,-2190
EDC,10/10/2011,5.65,5.74,5.65,5.72,13440400,-30886130
FGEN,10/10/2011,13.62,13.66,13.56,13.62,2586100,92444
FPH,10/10/2011,54,54.6,54,54.6,89670,2821506
MWC,10/10/2011,19.18,19.22,19.1,19.2,1213700,8425290
MER,10/10/2011,230.6,234.8,230.6,234,127540,-20160946
PCOR,10/10/2011,14.2,14.6,14.2,14.5,153900,-76680
PNX,10/10/2011,10.7,10.98,10.7,10.9,21800,0
TA,10/10/2011,0.97,0.99,0.97,0.99,238000,0
ANI,10/10/2011,10.74,11,10.6,10.7,469000,-430404
AMC,10/10/2011,12.02,12.3,12.02,12.3,81100,0
FOOD,10/10/2011,1.07,1.08,1.06,1.08,1336000,0
GSMI,10/10/2011,23.15,23.9,23,23.9,43500,-322700
JFC,10/10/2011,89,89,86,86.85,60120,-2331079
LFM,10/10/2011,55,79.35,55,79.35,1260,0
PIP,10/10/2011,2.12,2.12,2.11,2.11,217000,-94900
RFM,10/10/2011,1.13,1.13,1.11,1.11,169000,-18950
SMC,10/10/2011,114,114.7,113.5,114,922000,3611717
SFI,10/10/2011,0.134,0.134,0.131,0.131,8400000,0
URC,10/10/2011,43.1,43.4,42.9,43.3,978900,-20483485
AGP,10/10/2011,27.9,29.5,27.9,29.5,273900,-1100
EEI,10/10/2011,3.04,3.04,3.04,3.04,170000,0
MWIDE,10/10/2011,10.8,10.86,10.76,10.8,210300,0
T,10/10/2011,2.45,2.45,2.44,2.45,24000,58760
COAT,10/10/2011,2.39,2.39,2.39,2.39,50000,119500
ALPHA,10/10/2011,36.95,38.5,36.95,38.5,4900,74500
GREEN,10/10/2011,0.012,0.012,0.011,0.012,62200000,0
IMI,10/10/2011,5.2,5.4,5.2,5.4,52700,-26000
SPH,10/10/2011,2.08,2.08,2.08,2.08,1000,0
^HOLDING,10/10/2011,3169.57,3201.26,3138.44,3201.26,84877,-36701
ABA,10/10/2011,0.85,0.86,0.85,0.86,301000,0
AEV,10/10/2011,40.9,41,39.5,40.8,1658700,6315340
APM,10/10/2011,0.015,0.016,0.015,0.016,18900000,0
AGI,10/10/2011,9.13,9.45,9.06,9.4,24415900,16429779
ANS,10/10/2011,3.06,3.06,3.06,3.06,4000,0
AC,10/10/2011,288,288,284,287,66490,-3015764
DMC,10/10/2011,34.1,35.25,33.95,35.25,4162400,-10134215
FDC,10/10/2011,3.78,3.84,3.63,3.84,211000,-213830
JGS,10/10/2011,22,23.4,22,23.4,90500,163420
JOH,10/10/2011,3.31,3.31,3.31,3.31,10000,0
KPHB,10/10/2011,3.5,3.5,3.5,3.5,7000,0
LIHC,10/10/2011,0.75,0.76,0.74,0.76,3479000,0
LPZ,10/10/2011,4.52,4.52,4.5,4.51,415000,-473670
MHC,10/10/2011,0.3,0.3,0.3,0.3,20000,0
MARC,10/10/2011,1.92,1.93,1.92,1.93,155000,0
MPI,10/10/2011,2.83,2.95,2.79,2.89,10851000,16785220
MIC,10/10/2011,3.74,3.81,3.73,3.8,499000,0
PA,10/10/2011,0.057,0.059,0.056,0.058,6780000,0
POPI,10/10/2011,0.52,0.54,0.52,0.54,236000,0
SINO,10/10/2011,0.3,0.31,0.3,0.31,600000,0
