^FINANCIAL,11/16/2011,984.26,985.03,960.65,962.78,17921,126979
BDO,11/16/2011,57.35,57.35,55.05,55.25,1291000,-25218917
BPI,11/16/2011,58.2,58.2,55.5,55.85,4221860,-140823083
CHIB,11/16/2011,400.2,401,400,400,29220,9064000
MBT,11/16/2011,71,71,69.8,70,9151270,224388175
PBC,11/16/2011,84.4,84.45,84.4,84.45,2100,0
PNB,11/16/2011,55.1,55.3,54.5,54.75,274410,-1425576
RCB,11/16/2011,30.3,30.4,30,30.1,297800,-824325
SECB,11/16/2011,98.05,100.6,97,97.95,1364140,80680848
UBP,11/16/2011,62.75,62.95,62.75,62.75,10000,0
COL,11/16/2011,17.5,17.5,17.4,17.5,23300,15660
FMIC,11/16/2011,61,61,61,61,100,0
I,11/16/2011,2.18,2.26,2.16,2.26,19000,-39060
MFC,11/16/2011,490,490,490,490,100,0
NRCP,11/16/2011,1.48,1.53,1.48,1.53,116000,0
PSE,11/16/2011,228,230.4,228,228,83710,-18834716
V,11/16/2011,1.62,1.62,1.62,1.62,37000,-3240
^INDUSTRIAL,11/16/2011,6973.06,7116.95,6973.06,7055.51,66706,546269
AP,11/16/2011,29.95,30,29.8,29.85,3004200,50139700
ACR,11/16/2011,1.24,1.27,1.2,1.2,949000,0
CPG,11/16/2011,2.32,2.34,2.26,2.26,2278000,0
EDC,11/16/2011,6.02,6.03,5.92,5.92,10254700,-5922058
FGEN,11/16/2011,13.7,14.02,13.6,13.6,7676800,-19795348
FPH,11/16/2011,54.25,55.7,54.25,55.25,1188560,-22946833
MWC,11/16/2011,19.14,19.3,19.14,19.16,445600,-755474
MER,11/16/2011,240.4,243,240,240,209960,-40210210
PCOR,11/16/2011,13.9,13.94,13.7,13.7,174600,-6950
PNX,11/16/2011,11.3,11.3,10.6,11.08,16400,1060
SPC,11/16/2011,3.9,3.9,3.9,3.9,13000,0
TA,11/16/2011,1.1,1.12,1.07,1.08,1147000,0
ANI,11/16/2011,9.8,9.98,9.8,9.96,41300,9850
AMC,11/16/2011,12.5,12.5,12.5,12.5,8700,96250
FOOD,11/16/2011,1.32,1.34,1.3,1.33,646000,0
BMM,11/16/2011,55,55,55,55,50,0
GSMI,11/16/2011,24,24.5,24,24.5,3500,0
JFC,11/16/2011,92.6,92.9,91.8,91.95,334670,3881889
PCKH,11/16/2011,10,10,10,10,40800,0
PIP,11/16/2011,2.07,2.08,2.07,2.07,216000,0
TFC,11/16/2011,16.2,17,15.5,16.96,10700,0
RFM,11/16/2011,1.22,1.22,1.17,1.2,860000,162920
ROX,11/16/2011,2.6,2.6,2.6,2.6,42000,0
SMB,11/16/2011,30,30,30,30,1100,0
SMC,11/16/2011,124,125.5,124,124.8,7552230,456429793
SFI,11/16/2011,0.125,0.125,0.125,0.125,260000,0
TDY,11/16/2011,4.9,4.9,4.8,4.8,50000,0
CAT,11/16/2011,20,20.5,18,18,12300,0
URC,11/16/2011,50.5,53,50.5,51.9,10404900,126058445
VITA,11/16/2011,0.41,0.41,0.41,0.41,100000,0
AGP,11/16/2011,31.1,32,29.5,29.5,370600,3010
EEI,11/16/2011,3.13,3.13,3.09,3.12,512000,-388240
FED,11/16/2011,8.7,13.04,8.7,11.9,154400,25120
HLCM,11/16/2011,8.27,8.27,8.27,8.27,3000,0
MWIDE,11/16/2011,8.3,8.4,8.25,8.3,153600,-298850
PHN,11/16/2011,11.3,11.3,11.3,11.3,300,0
RCM,11/16/2011,5.28,5.28,5.28,5.28,2745000,0
CMT,11/16/2011,1.37,1.38,1.34,1.34,1435000,0
T,11/16/2011,2.62,2.62,2.5,2.6,449000,0
VUL,11/16/2011,1.01,1.03,1,1.02,3227000,0
COAT,11/16/2011,2.37,2.37,2.36,2.37,167000,237000
MVC,11/16/2011,1.11,1.11,1.11,1.11,7000,0
MIH,11/16/2011,1.65,1.65,1.65,1.65,8000,0
AAI,11/16/2011,29.9,30.8,16,30.8,632600,-250264
ALPHA,11/16/2011,34.1,34.1,31,31,700,0
GREEN,11/16/2011,0.011,0.011,0.011,0.011,8600000,-44000
IMI,11/16/2011,5.28,5.3,5.26,5.3,50500,-157800
SPH,11/16/2011,2.11,2.11,2.11,2.11,13000,0
^HOLDING,11/16/2011,3428.42,3434.28,3398.37,3409.99,235808,127988
ABA,11/16/2011,1.02,1.05,1.01,1.04,1628000,0
AEV,11/16/2011,40.95,40.95,40.6,40.9,504300,7869400
APM,11/16/2011,0.015,0.016,0.015,0.016,2100000,0
AGI,11/16/2011,10.54,10.7,10.48,10.48,25444600,82274788
APO,11/16/2011,2.13,2.17,2.12,2.17,51000,0
ANS,11/16/2011,3.3,3.3,3.25,3.25,35000,16250
AAA,11/16/2011,0.26,0.42,0.26,0.42,50020000,0
ATN,11/16/2011,2.34,2.35,2.2,2.34,216000,0
ATNB,11/16/2011,2.81,3.02,2.8,2.98,56000,0
AC,11/16/2011,296,296.2,294.4,295.2,100670,10954226
DMC,11/16/2011,39,39.2,37.7,37.7,1061100,12532965
FJP,11/16/2011,1.5,1.5,1.5,1.5,5000,0
FDC,11/16/2011,3.71,3.73,3.68,3.73,266000,0
FPI,11/16/2011,0.201,0.227,0.201,0.202,360000,0
JGS,11/16/2011,25.25,25.25,24.7,25.25,754500,-812045
JOH,11/16/2011,4.01,4.07,4,4,140000,40000
KPH,11/16/2011,3.59,3.59,3.59,3.59,10000,0
KPHB,11/16/2011,3.5,3.6,3.5,3.6,10000,0
LIHC,11/16/2011,0.83,0.83,0.77,0.77,16034000,4450
LPZ,11/16/2011,4.59,4.9,4.59,4.85,1770000,3480460
MARC,11/16/2011,2.03,2.12,2.01,2.07,3156000,253630
MPI,11/16/2011,3.34,3.35,3.32,3.33,83187000,-69229370
MIC,11/16/2011,3.58,3.67,3.48,3.59,1139000,35800
MJIC,11/16/2011,1.62,1.62,1.45,1.5,12000,0
PA,11/16/2011,0.057,0.058,0.057,0.058,9540000,0
PRIM,11/16/2011,1.54,1.54,1.54,1.54,10000,0
SINO,11/16/2011,0.35,0.35,0.35,0.35,50000,0
SM,11/16/2011,562,562,554,554.5,836890,79781270
SGI,11/16/2011,1.2,1.2,1.18,1.18,179000,-66000
SOC,11/16/2011,1.2,1.2,1.18,1.18,280000,0
SGP,11/16/2011,540,540,540,540,10,0
UNI,11/16/2011,0.15,0.152,0.15,0.152,590000,-13680
WIN,11/16/2011,0.112,0.117,0.112,0.117,80000,-7840
ZHI,11/16/2011,0.87,0.87,0.84,0.84,36180000,874000
^PROPERTY,11/16/2011,1570.25,1576.11,1552.1,1555.74,183078,-15962
ALCO,11/16/2011,0.175,0.175,0.166,0.166,160000,0
ALHI,11/16/2011,19,19,19,19,8000,0
ALI,11/16/2011,16.8,16.98,16.58,16.8,6177100,28556790
BEL,11/16/2011,4.38,4.4,4.25,4.29,14203000,404910
CHI,11/16/2011,2.5,2.5,2.5,2.5,1000,0
LAND,11/16/2011,1.45,1.45,1.45,1.45,1000,0
CYBR,11/16/2011,0.81,0.81,0.79,0.8,1804000,0
ELI,11/16/2011,0.63,0.63,0.61,0.61,4637000,-93510
ETON,11/16/2011,3.18,3.24,3.17,3.24,37000,0
EVER,11/16/2011,0.134,0.134,0.132,0.132,930000,0
FLI,11/16/2011,1.14,1.15,1.12,1.12,9742000,1380650
GERI,11/16/2011,2.36,2.39,2.25,2.29,8154000,-790390
HP,11/16/2011,1.26,1.26,1.25,1.25,101000,-16250
IRC,11/16/2011,0.84,0.86,0.84,0.86,105000,0
IRCB,11/16/2011,0.75,0.89,0.75,0.89,15000,-7500
KEP,11/16/2011,1.6,1.82,1.6,1.82,32000,0
MEG,11/16/2011,2.07,2.07,1.99,2,83157000,-39482200
MRC,11/16/2011,0.33,0.34,0.325,0.33,35330000,713900
RLT,11/16/2011,0.55,0.55,0.52,0.52,222000,0
PO,11/16/2011,2.86,2.86,2.85,2.85,2000,0
RLC,11/16/2011,12.2,12.38,12.2,12.24,1283100,7073900
SMP,11/16/2011,585,585,585,585,30,0
SHNG,11/16/2011,1.9,1.96,1.9,1.96,49000,0
SMDC,11/16/2011,7.7,7.8,7.64,7.64,696900,-76400
SMPH,11/16/2011,13.04,13.04,12.84,12.84,2064300,-8130470
SLI,11/16/2011,0.76,0.76,0.74,0.74,1012000,0
SUN,11/16/2011,0.55,0.55,0.53,0.53,252000,0
VLL,11/16/2011,3,3.01,2.97,3,11763000,-5496260
^SERVICE,11/16/2011,1569.26,1588.46,1566.37,1567.57,104794,140698
ABS,11/16/2011,31.5,31.5,31.5,31.5,11200,0
GMA7,11/16/2011,6.5,6.5,6.49,6.5,18300,0
MB,11/16/2011,0.59,0.6,0.59,0.6,44000,0
DGTL,11/16/2011,1.57,1.58,1.57,1.57,15987000,23559420
GLO,11/16/2011,999.5,999.5,990,996.5,25950,4471955
LIB,11/16/2011,3.18,3.18,3.18,3.18,10000,0
TEL,11/16/2011,2438,2438,2400,2412,107145,-14792230
PCEV,11/16/2011,5.5,5.65,5.25,5.65,235100,-15750
BHI,11/16/2011,0.209,0.211,0.205,0.209,28250000,61600
DFNN,11/16/2011,6.35,6.4,6.01,6.02,452100,-813683
CLOUD,11/16/2011,2.52,2.52,2.46,2.47,70000,0
EG,11/16/2011,25.25,25.25,24.3,25.15,31000,-257690
IP,11/16/2011,1.95,2,1.9,1.97,15757000,68340
IS,11/16/2011,0.047,0.05,0.047,0.05,20000,0
ISM,11/16/2011,3.5,3.7,3.41,3.7,271000,54750
WEB,11/16/2011,15.14,15.14,15.12,15.12,166000,75900
TBGI,11/16/2011,3.06,3.1,2.95,3,216000,-61370
ATS,11/16/2011,1.48,1.48,1.48,1.48,8000,0
ATI,11/16/2011,7.72,7.72,7.72,7.72,10000,0
CEB,11/16/2011,71.5,71.95,71,71.5,375560,-16907257
ICT,11/16/2011,57.9,59.8,56.9,56.95,11073770,148950891
MAC,11/16/2011,3,3,2.95,2.95,105000,0
PAL,11/16/2011,6.1,6.1,6.07,6.07,108700,0
LR,11/16/2011,9.18,9.3,8.9,9.22,5446200,14563709
PRC,11/16/2011,5.55,5.6,5.55,5.6,33100,0
PEP,11/16/2011,0.29,0.3,0.29,0.295,1090000,-58000
WPI,11/16/2011,0.5,0.53,0.49,0.53,2579000,-2650
CEU,11/16/2011,9.5,10,9,9,2600,0
FEU,11/16/2011,1500,1500,1475,1500,330,0
IPO,11/16/2011,4.52,4.52,4.52,4.52,15000,0
APC,11/16/2011,0.62,0.62,0.61,0.61,700000,0
ECP,11/16/2011,1.7,1.8,1.7,1.8,25000,0
ICTV,11/16/2011,0.395,0.405,0.395,0.395,180000,0
JTH,11/16/2011,2.56,2.79,2.52,2.69,2448000,0
MET,11/16/2011,33.05,33.05,30.55,30.55,5500,0
LOTO,11/16/2011,18.9,18.9,18.9,18.9,200,0
PAX,11/16/2011,1.38,1.38,1.3,1.31,1469000,-3310
PGOLD,11/16/2011,14.92,16.2,14.8,15.52,17248000,-18196306
^MINING-OIL,11/16/2011,22127.27,22461.08,22127.27,22293.71,2136254,-77624
AR,11/16/2011,0.0068,0.0069,0.0067,0.0069,306000000,0
APX,11/16/2011,4.65,4.65,4.15,4.25,868000,0
APXB,11/16/2011,4.5,4.6,4.15,4.29,716000,-42900
AT,11/16/2011,18.12,18.2,18.1,18.12,725700,2872912
AB,11/16/2011,22.8,22.8,22.8,22.8,300,6840
BC,11/16/2011,26.8,27.4,26.8,27.3,235700,0
BCB,11/16/2011,26.25,27,26.25,27,2700,-13125
CPM,11/16/2011,1.88,1.9,1.87,1.88,1255000,571520
DIZ,11/16/2011,8.47,8.47,8.04,8.04,832900,65280
GEO,11/16/2011,0.55,0.55,0.54,0.54,2901000,0
LC,11/16/2011,1.29,1.31,1.27,1.29,129950000,0
LCB,11/16/2011,1.37,1.42,1.37,1.42,148193000,3480060
MA,11/16/2011,0.061,0.062,0.06,0.06,667700000,0
MAB,11/16/2011,0.061,0.063,0.061,0.062,39960000,628780
NIKL,11/16/2011,19.5,19.5,19.4,19.5,792700,-731250
NI,11/16/2011,4.23,4.27,4.08,4.1,31872000,-3515120
OM,11/16/2011,0.75,0.78,0.75,0.78,343000,0
ORE,11/16/2011,4.13,4.15,3.92,3.92,4466000,31360
PX,11/16/2011,23,23.1,22.65,22.8,4607100,-47887165
SCC,11/16/2011,216.8,216.8,211,211.8,433150,-32882332
UPM,11/16/2011,0.022,0.022,0.022,0.022,47800000,0
BSC,11/16/2011,0.208,0.215,0.208,0.212,1870000,-2150
OPM,11/16/2011,0.018,0.018,0.018,0.018,55500000,0
OPMB,11/16/2011,0.019,0.019,0.019,0.019,20000000,-76000
PERC,11/16/2011,6.29,6.29,6.29,6.29,1000,0
PXP,11/16/2011,7.2,7.2,7,7.12,327600,-98570
OV,11/16/2011,0.021,0.023,0.021,0.021,668400000,-33000
PECB,11/16/2011,55,55,55,55,500,0
^PSEi,11/16/2011,4362.23,4394.9,4337.56,4341.62,2744563,847074
^ALLSHARES,11/16/2011,3025.44,3044.6,3014.18,3018.57,0,0
PPREF,11/16/2011,112.5,112.5,112.5,112.5,150,0
SMCP1,11/16/2011,77,77,77,77,10590,0
PFP,11/16/2011,1019,1020,1016,1018,8620,0
SFIP,11/16/2011,0.9,0.95,0.9,0.95,121000,10800
GMAP,11/16/2011,6.4,6.4,6.4,6.4,200000,-1280000
MEGW1,11/16/2011,1,1.04,0.96,0.96,1131000,0
